SA1_7DIGITCODE_2016	Sex	unemployment
3124423	F	5.1
3124423	M	6.7
3124424	F	13.1
3124424	M	5.4
3124425	F	2.1
3124425	M	4.6
3124426	F	3.8
3124426	M	4.8
3124427	F	7.5
3124427	M	5.7
3124428	F	3.5
3124428	M	13
3124429	F	4.8
3124429	M	6.2
3124431	F	2.9
3124431	M	3
3124432	M	2.5
3124433	F	2.5
3124433	M	4.8
3124434	F	5.1
3124434	M	4.8
3124435	F	9
3124435	M	7.2
3124436	F	10.4
3124436	M	8.2
3124437	M	7.6
3124438	F	8.6
3124438	M	4.5
3124439	F	3.1
3124439	M	15.3
3124440	F	3.8
3124440	M	9.8
3124441	F	4.9
3124441	M	5.7
3124442	F	4.4
3124442	M	8.4
3124443	F	3.6
3124443	M	7.5
3124444	F	6.5
3124444	M	5.8
3124445	M	4.4
3124446	F	6.3
3124446	M	3.2
3124447	F	4.1
3124447	M	4.4
3124502	F	4.3
3124502	M	16.9
3124503	F	7.5
3124503	M	6.3
3124504	F	10.5
3124504	M	7.5
3124505	F	9.3
3124505	M	3.7
3124506	F	2.7
3124506	M	3.1
3124507	M	4.3
3124509	F	1.9
3124509	M	11.4
3124510	F	6.7
3124510	M	5.3
3124511	F	6.7
3124511	M	5.2
3124512	F	8.7
3124512	M	4.4
3124513	F	4.3
3124513	M	3.2
3124514	M	6.4
3124515	F	2.3
3124515	M	5.9
3124516	F	4.5
3124516	M	6.7
3124517	F	5.7
3124517	M	2.6
3124602	F	6.3
3124602	M	9.7
3124603	F	6.7
3124603	M	6.8
3124604	F	5.5
3124604	M	3.1
3124605	F	12.3
3124605	M	5.1
3124607	F	5.3
3124607	M	3.6
3124608	F	3.8
3124608	M	6.1
3124609	F	5.3
3124609	M	6.2
3124610	F	6.5
3124610	M	4.1
3124611	F	2.1
3124612	M	4.6
3124613	F	3.4
3124613	M	5.3
3124614	F	7.9
3124615	F	11.1
3124615	M	8.8
3124616	F	3.5
3124616	M	6.5
3124617	F	8.1
3124617	M	7.5
3124618	F	5.6
3124618	M	6.6
3124619	F	6.9
3124619	M	4.9
3124620	M	7.9
3124621	M	23.4
3124622	F	14.3
3124622	M	17.2
3124623	F	5.5
3124623	M	4.7
3124624	F	10.8
3124624	M	9.1
3124625	F	11.7
3124625	M	5.1
3124626	F	2.9
3124626	M	8.5
3124627	F	8.3
3124627	M	7.2
3124628	F	2.7
3124628	M	3
3124629	F	3.5
3124629	M	9.8
3124701	F	8
3124701	M	10.7
3124702	F	4.9
3124702	M	4.8
3124703	F	3.5
3124703	M	7.1
3124705	F	5.2
3124705	M	5.3
3124706	F	4.7
3124706	M	4.7
3124707	F	2.9
3124707	M	5.3
3124708	F	6.2
3124708	M	7.9
3124709	F	8.2
3124709	M	7.5
3124710	F	3.8
3124710	M	7.8
3124711	F	3.5
3124711	M	7.3
3124712	F	5.5
3124712	M	5.9
3124713	F	5.5
3124713	M	5.5
3124714	F	6.3
3124714	M	6.6
3124715	F	11.4
3124715	M	11.4
3124716	F	6.6
3124716	M	6.4
3124717	F	3.9
3124717	M	9.1
3124720	F	5.6
3124720	M	4.8
3124721	F	8.7
3124721	M	5.6
3124722	F	6.4
3124722	M	6.7
3124723	F	11.4
3124723	M	9.5
3124724	F	4.9
3124725	F	4.1
3124725	M	9.2
3124801	F	11.1
3124801	M	6.6
3124802	F	7
3124802	M	6.7
3124803	F	5.2
3124803	M	4.3
3124805	M	37.5
3124806	F	15.1
3124806	M	13.3
3124807	F	5.7
3124807	M	8.4
3124808	F	7.1
3124808	M	6.7
3124809	F	5.7
3124809	M	9.4
3124810	F	11.3
3124810	M	12.3
3124811	F	13.3
3124811	M	11.5
3124812	M	5.3
3124813	F	7.9
3124813	M	3.4
3124814	F	4.5
3124814	M	8.7
3124815	F	18.9
3124815	M	17.2
3124818	F	13.7
3124818	M	9.5
3124819	F	2.3
3124819	M	8.9
3124820	F	5.3
3124820	M	7.8
3124821	F	8.5
3124821	M	4.5
3124822	F	6.1
3124822	M	4.3
3124823	F	11.2
3124823	M	4
3124824	F	5.5
3124824	M	8
3124825	F	6.9
3124825	M	8.3
3124826	F	3.6
3124826	M	3.5
3124828	F	10.9
3124828	M	9.8
3124829	F	8.3
3124829	M	11.3
3124830	F	4.9
3124830	M	10.6
3124831	F	4.8
3124831	M	7.5
3124832	F	8.9
3124832	M	6.8
3124833	F	8.4
3124833	M	11
3124834	M	8.7
3124835	F	6.8
3124835	M	4
3124836	F	15.9
3124836	M	27.8
3124837	F	3.3
3124837	M	6.2
3124838	F	6.1
3124838	M	12.8
3124839	F	12.9
3124839	M	21.1
3124840	F	15.9
3124840	M	9.6
3124841	F	11.5
3124841	M	4.6
3124842	F	9.8
3124842	M	2.9
3124843	F	3.7
3124843	M	2.2
3124844	F	4.1
3124844	M	8.6
3124846	F	5.1
3124846	M	3.6
3124847	F	13.8
3124847	M	4.3
3124849	F	3.4
3124849	M	2.9
3124850	F	11.1
3124850	M	3.2
3124851	F	5.5
3124851	M	4.7
3124852	F	6.5
3124852	M	4.8
3124901	F	5.6
3124901	M	4.7
3124902	F	6.5
3124902	M	5.5
3124903	F	9.2
3124903	M	4
3124904	F	4.3
3124904	M	4.9
3124905	F	12.1
3124905	M	7.4
3124906	F	3.8
3124906	M	6.7
3124907	F	6.1
3124907	M	9
3124908	F	11.1
3124908	M	2.7
3124909	F	8.4
3124909	M	4.2
3124913	F	7.4
3124913	M	6.4
3124914	F	8.2
3124914	M	4.3
3124915	F	6.7
3124915	M	9.2
3124916	F	6.2
3124916	M	6.6
3124917	F	3.2
3124917	M	3.5
3124918	F	6.5
3124918	M	8.6
3124919	F	5.6
3124919	M	16.9
3124920	F	12.4
3124920	M	5
3124921	F	10.1
3124921	M	10.3
3124922	F	12.9
3124922	M	3.6
3124923	F	9.1
3124923	M	7.4
3124924	F	9
3124924	M	8.5
3124925	F	8.6
3124925	M	11.5
3124927	F	5.9
3124927	M	6.6
3124929	F	11.5
3124929	M	12.3
3124930	F	13.5
3124930	M	10.2
3124931	F	7.9
3124931	M	9.1
3124932	F	11.8
3124932	M	7.1
3124933	F	6
3124933	M	6.8
3124935	F	4.9
3124935	M	4.6
3124936	F	9.4
3124936	M	6.5
3124937	F	9.7
3124937	M	2.8
3124938	F	4.5
3124938	M	7.9
3124939	F	7.9
3124939	M	4.3
3124940	F	4.2
3124940	M	4
3124941	F	8.6
3124941	M	5.2
3124942	F	3.9
3124942	M	8
3124943	F	13
3124943	M	11.5
3124944	F	7.3
3124944	M	7
3125001	F	4
3125001	M	6.2
3125002	F	2.5
3125002	M	8.7
3125003	F	6.2
3125003	M	7.8
3125004	F	4.8
3125004	M	4.5
3125005	F	8.2
3125005	M	5.8
3125006	F	6.5
3125006	M	4.8
3125007	F	5.3
3125007	M	4.1
3125008	F	10.8
3125009	M	5.7
3125010	F	13.2
3125010	M	7
3125011	F	8
3125011	M	8.3
3125012	F	3
3125012	M	3.8
3125013	M	6.5
3125014	F	2.3
3125014	M	3
3125015	F	5.2
3125015	M	6.2
3125016	F	4.1
3125016	M	3.6
3125017	F	7.8
3125017	M	7.5
3125104	F	6.5
3125104	M	9.2
3125107	F	10.8
3125107	M	11
3125108	F	5.3
3125108	M	3
3125109	F	10.1
3125109	M	10.1
3125110	F	10.2
3125110	M	5.9
3125111	F	25.7
3125111	M	5.3
3125112	F	13.1
3125112	M	5.1
3125113	F	3.4
3125113	M	9.6
3125114	F	12.1
3125114	M	7.4
3125115	F	3.7
3125115	M	6.1
3125116	F	6.8
3125116	M	3
3125117	F	7.3
3125117	M	5.1
3125118	F	8.2
3125118	M	5.1
3125119	F	12.7
3125119	M	3.9
3125120	F	12.6
3125120	M	8.6
3125122	F	10.7
3125122	M	5.2
3125123	F	8.4
3125123	M	8.9
3125124	F	11.5
3125124	M	8.5
3125125	F	8.3
3125125	M	2.3
3125126	F	4.6
3125126	M	7.8
3125201	F	6.3
3125201	M	8.7
3125202	M	14.3
3125203	F	14.6
3125203	M	5.1
3125204	F	4.3
3125204	M	9.2
3125205	F	5.9
3125205	M	14.3
3125206	F	6.5
3125206	M	12.2
3125207	F	5.9
3125207	M	14.1
3125208	F	6.3
3125208	M	4.7
3125210	F	3.2
3125210	M	7
3125211	F	6.4
3125211	M	3.3
3125213	F	8
3125213	M	3.7
3125214	F	2.1
3125214	M	8.6
3125215	F	3.6
3125215	M	5.2
3125216	F	6.7
3125216	M	6.7
3125217	F	4.4
3125217	M	5.2
3125218	F	8
3125218	M	13.3
3125219	F	6.5
3125219	M	4.1
3125220	F	2.5
3125220	M	6.8
3125222	F	5.6
3125223	F	10.3
3125223	M	9.4
3125224	F	5.5
3125224	M	4.7
3125225	M	6.3
3125226	F	7.1
3125226	M	6.4
3125227	F	3.4
3125227	M	9.7
3125228	F	4.8
3125228	M	4.6
3125229	F	4.1
3125229	M	4.5
3125230	F	5.1
3125230	M	8.3
3125231	F	12.8
3125231	M	9.7
3125232	F	3
3125232	M	12.2
3125233	F	3.5
3125233	M	3.2
3125234	F	2.7
3125234	M	4.8
3125235	F	7.7
3125235	M	6.3
3125236	F	7.7
3125236	M	5.1
3125237	F	7
3125237	M	8.7
3125238	F	2.9
3125238	M	5
3125239	F	5.9
3125239	M	4.1
3125240	F	9.2
3125240	M	15.5
3125241	M	5.5
3125242	F	10.4
3125242	M	8.9
3125302	F	10.2
3125302	M	4.3
3125303	F	3.2
3125303	M	7.6
3125304	F	3.2
3125304	M	2.5
3125305	F	11
3125305	M	7.7
3125306	F	7.4
3125306	M	7
3125307	F	2.5
3125307	M	5.1
3125308	F	5.5
3125308	M	2.9
3125310	F	4.5
3125310	M	3.9
3125311	F	6.6
3125311	M	5.6
3125312	F	6.3
3125312	M	2.3
3125314	F	3.1
3125314	M	5.7
3125315	M	4.8
3125316	F	19.7
3125316	M	7.7
3125318	F	8.2
3125318	M	6
3125319	F	6.8
3125319	M	3.9
3125320	F	3.7
3125320	M	8
3125322	F	4.7
3125322	M	5.8
3125324	F	3.7
3125324	M	2.8
3125325	F	9.3
3125325	M	5.8
3125326	F	5.6
3125326	M	5.4
3125327	F	7.9
3125327	M	7.1
3125402	F	2.8
3125402	M	2.4
3125403	F	7.6
3125403	M	6.3
3125404	F	9.2
3125404	M	6.2
3125405	F	10.6
3125405	M	5.2
3125406	F	2.9
3125406	M	5.3
3125407	F	7.6
3125408	F	5.5
3125408	M	3.3
3125409	F	3.9
3125409	M	3.5
3125410	F	4.3
3125410	M	7.2
3125501	F	5.7
3125502	F	5.8
3125502	M	6.3
3125503	F	8.5
3125503	M	12.5
3125504	F	4
3125504	M	2
3125505	M	6.8
3125507	F	15.4
3125507	M	14.3
3125508	F	3.2
3125508	M	7.8
3125509	M	3.3
3125510	M	13
3125511	F	2.6
3125511	M	5.1
3125512	F	7.1
3125512	M	2.8
3125513	F	10.3
3125513	M	3.1
3125514	F	10.3
3125514	M	5.5
3125515	F	5.9
3125515	M	7.7
3125516	F	4.4
3125516	M	3.2
3125518	F	3.4
3125518	M	3.3
3125519	F	7
3125519	M	4.9
3125520	F	4
3125520	M	8.7
3125523	F	10
3125523	M	12.5
3125524	F	8.8
3125524	M	6.8
3125528	F	17.6
3125528	M	17.1
3125529	F	5.3
3125529	M	3.1
3125530	F	3.1
3125530	M	3.9
3125531	F	5.9
3125531	M	6
3125534	M	20
3125535	F	11.7
3125535	M	2.2
3125536	F	4.1
3125537	F	4.4
3125537	M	8.1
3125538	M	8.5
3125539	M	4.1
3125540	F	8.9
3125540	M	4.9
3125541	F	2.7
3125541	M	6.5
3125542	F	6.9
3125543	F	7.5
3125543	M	2.7
3125544	M	6
3125545	F	10.8
3125545	M	3.5
3125546	F	6.2
3125546	M	4
3125547	F	10.9
3125547	M	6.8
3125548	F	10
3125548	M	9.4
3125549	F	10.3
3125549	M	4.7
3125601	F	5.6
3125601	M	5.3
3125602	F	8.7
3125602	M	7.5
3125604	F	3.1
3125604	M	5.9
3125605	F	8.8
3125605	M	9.5
3125608	F	6
3125608	M	4.8
3125609	F	5.2
3125609	M	3.5
3125610	F	3
3125610	M	5.3
3125612	F	10.3
3125612	M	6.2
3125613	F	12.5
3125613	M	5.5
3125615	F	7.9
3125615	M	7.3
3125617	F	6.1
3125617	M	9.7
3125618	F	3.2
3125618	M	4.9
3125619	M	8.6
3125620	F	3.2
3125620	M	6.1
3125621	F	8.5
3125621	M	4.5
3125622	F	8.1
3125622	M	6.1
3125623	F	8.1
3125623	M	4.1
3125624	F	7.7
3125624	M	10.7
3125625	F	11.5
3125625	M	11.9
3125626	F	3.7
3125626	M	5.9
3125628	F	10.8
3125628	M	7.4
3125629	F	18
3125629	M	8.8
3125630	F	8.6
3125630	M	5.7
3125631	F	5.7
3125631	M	15
3125632	F	10.6
3125632	M	6.3
3125633	F	4.8
3125633	M	7.1
3125634	F	5.2
3125634	M	4.2
3125635	F	2.3
3125635	M	6.5
3125636	F	8.3
3125636	M	5.7
3125637	F	4.4
3125637	M	7.8
3125638	F	7.1
3125639	F	3.5
3125639	M	3.5
3125640	F	8.2
3125640	M	6.8
3125641	F	4.2
3125642	F	7.2
3125642	M	5
3125701	M	7.7
3125702	F	5.6
3125702	M	6.5
3125703	F	13.8
3125703	M	4.8
3125706	F	15
3125706	M	9.9
3125707	F	11.4
3125707	M	3.5
3125708	F	6.3
3125708	M	9.3
3125709	F	11.9
3125709	M	8.2
3125710	F	10.9
3125710	M	7.4
3125711	F	10.2
3125711	M	4.5
3125712	F	3.2
3125712	M	5
3125801	F	5.6
3125801	M	4.5
3125802	F	5
3125802	M	5.6
3125803	F	15.9
3125803	M	9.1
3125804	F	7.5
3125804	M	6.9
3125805	F	3.7
3125805	M	6.3
3125806	F	12.5
3125806	M	5.1
3125807	F	11.1
3125807	M	13.7
3125808	F	11.5
3125808	M	6.4
3125809	F	6.6
3125809	M	3.8
3125810	F	2.5
3125810	M	5.7
3125811	F	4.3
3125811	M	6.5
3125814	F	9.9
3125814	M	5.1
3125815	F	4.5
3125815	M	5.6
3125816	F	2.8
3125816	M	8
3125817	F	4.9
3125817	M	12
3125818	F	5.6
3125818	M	6.8
3125819	F	6.9
3125819	M	7.3
3125822	F	5
3125822	M	1.9
3125823	F	10.8
3125823	M	7.7
3125824	F	8.6
3125824	M	5.5
3125825	F	4.1
3125825	M	4.4
3125826	F	2.6
3125826	M	7
3125827	F	11.7
3125827	M	6.8
3125828	F	8
3125828	M	6.3
3125829	F	9.9
3125829	M	12.5
3125830	F	12.3
3125830	M	3.9
3125831	F	6.2
3125831	M	3.3
3125832	F	10.5
3125832	M	9
3125833	F	17.2
3125833	M	17.1
3125834	F	2.7
3125834	M	5.5
3125835	F	8.9
3125835	M	7.7
3125836	F	10
3125836	M	11
3125837	F	10.8
3125837	M	9
3125838	F	7.4
3125838	M	6.6
3125839	F	5.1
3125839	M	3
3125840	F	3.8
3125840	M	5.9
3125842	F	8.3
3125842	M	9.7
3125843	F	4.9
3125843	M	5.8
3125844	F	13.3
3125844	M	4.2
3125846	F	7.4
3125846	M	8.7
3125847	F	5.7
3125847	M	9.8
3125848	F	5.5
3125848	M	4.2
3125849	F	5.9
3125849	M	12.1
3125850	F	6.9
3125850	M	6.6
3125851	F	2.8
3125851	M	2.3
3125852	F	7.7
3125852	M	6.2
3125853	F	3.8
3125853	M	12.5
3125854	F	15.9
3125854	M	5.3
3125855	F	8.3
3125855	M	8.8
3125856	F	6.4
3125856	M	9.4
3125857	F	3.9
3125857	M	6.9
3125858	F	6.2
3125858	M	4.5
3125859	F	2.7
3125859	M	5
3125860	F	9.4
3125860	M	5.2
3125861	F	8.5
3125861	M	3.2
3125862	F	17.3
3125862	M	10.2
3125901	M	11.4
3125903	F	2.2
3125903	M	6.9
3125904	F	3.2
3125904	M	16.9
3125905	F	7.5
3125905	M	2.3
3125906	M	2.7
3125907	F	7.6
3125907	M	7.1
3125908	F	4.8
3125908	M	5.3
3125909	F	3.5
3125909	M	3
3125910	F	4.5
3125910	M	7.6
3126001	F	3.4
3126001	M	7.8
3126003	F	9
3126003	M	5.8
3126004	F	8.3
3126004	M	5.2
3126005	F	6.7
3126005	M	3.2
3126006	F	9.8
3126006	M	7.8
3126007	F	9
3126007	M	3.7
3126008	F	12.6
3126008	M	5.4
3126009	F	3.9
3126009	M	8.2
3126010	F	8.1
3126010	M	8.1
3126011	F	2.6
3126011	M	5.1
3126012	F	5.1
3126012	M	3
3126013	M	3
3126014	F	3.5
3126014	M	10.9
3126015	F	3.5
3126016	F	8.5
3126016	M	6.7
3126101	F	6.6
3126101	M	9.7
3126102	F	4.4
3126102	M	3.9
3126103	F	7.1
3126103	M	2.2
3126104	F	3.9
3126104	M	7.2
3126105	F	4.5
3126105	M	5
3126106	F	10.9
3126106	M	14.9
3126107	F	6.9
3126107	M	9.8
3126108	F	3.9
3126108	M	6
3126109	F	4.2
3126109	M	5.4
3126110	F	3
3126110	M	6.1
3126111	F	8.2
3126111	M	3.8
3126112	F	3.9
3126112	M	6.7
3126113	F	9.7
3126113	M	11.1
3126114	F	4.9
3126114	M	4.7
3126115	F	3.6
3126115	M	3.4
3126116	F	7.5
3126116	M	4
3126117	F	5.4
3126117	M	4.1
3126118	F	6.7
3126118	M	8.6
3126119	F	4.8
3126119	M	3
3126120	F	10.2
3126120	M	7.3
3126121	F	13
3126121	M	16.3
3126122	F	13.5
3126122	M	6.9
3126123	F	9.3
3126123	M	8.2
3126124	F	6.3
3126124	M	9.3
3126125	F	6.1
3126125	M	7.1
3126126	F	5.8
3126126	M	5.9
3126127	F	5.6
3126127	M	5.2
3126128	F	6.2
3126128	M	7.9
3126129	F	5.3
3126129	M	7.3
3126130	F	12.8
3126130	M	3.5
3126131	F	14.3
3126131	M	8
3126132	F	11.1
3126132	M	17.5
3126133	F	7.6
3126133	M	6.3
3126134	F	3.6
3126134	M	7.8
3126135	F	6.1
3126135	M	5.8
3126136	F	4.9
3126136	M	7
3126137	F	6
3126137	M	6.9
3126138	F	4.9
3126138	M	5.1
3126139	F	27.3
3126139	M	23.9
3126140	F	10
3126140	M	8.1
3126141	F	4
3126141	M	13
3126142	F	8.1
3126142	M	10.8
3126143	F	3.6
3126143	M	3.2
3126145	F	8.1
3126145	M	9.5
3126146	F	8.5
3126146	M	3.8
3126147	F	4.3
3126147	M	3.5
3126148	F	2.9
3126148	M	10.6
3126149	F	8.7
3126149	M	7.7
3126150	M	14.3
3126151	F	9
3126151	M	3.9
3126201	F	8.9
3126201	M	8.4
3126202	F	5.9
3126202	M	8.7
3126203	F	6.6
3126203	M	8.4
3126205	F	4.9
3126205	M	4.9
3126206	F	3
3126206	M	7.8
3126207	F	1.8
3126207	M	4.3
3126209	F	10
3126209	M	8.2
3126210	F	4
3126210	M	10.5
3126211	F	10.7
3126211	M	2.9
3126212	F	16
3126212	M	13.8
3126213	F	9.9
3126213	M	10.3
3126214	F	9.2
3126214	M	8.6
3126215	F	6.4
3126215	M	7.1
3126216	F	4
3126216	M	4.7
3126217	F	3.6
3126217	M	6.1
3126218	F	5.8
3126218	M	6.1
3126219	F	8.1
3126219	M	4.6
3126220	F	6.3
3126220	M	5.2
3126221	F	6.1
3126221	M	6.3
3126222	F	6.8
3126222	M	7.3
3126223	F	8.5
3126223	M	3.6
3126224	F	13.6
3126225	F	4.6
3126225	M	6.3
3126226	F	4.1
3126226	M	13.2
3126228	F	8
3126228	M	3.7
3126229	F	13.5
3126229	M	13.2
3126230	F	10.7
3126230	M	4.6
3126231	F	13.8
3126231	M	24.3
3126233	F	5.7
3126233	M	5
3126234	F	11.4
3126234	M	18.2
3126235	F	7.7
3126235	M	6.3
3126301	F	3.5
3126301	M	2.9
3126302	F	9
3126303	F	8.1
3126303	M	5.9
3126304	F	2.6
3126304	M	3
3126305	F	4.3
3126305	M	3.3
3126306	F	8.8
3126306	M	9.6
3126307	F	7.8
3126307	M	10
3126308	F	2.3
3126308	M	5.8
3126309	F	3.4
3126309	M	5.7
3126310	M	4.9
3126311	F	7.5
3126311	M	7.6
3126312	F	3.4
3126312	M	9.6
3126313	F	2.3
3126313	M	4.7
3126314	F	8.2
3126314	M	9.8
3126315	F	10.3
3126315	M	8.4
3126316	F	10
3126316	M	9.4
3126317	F	5.2
3126317	M	3.3
3126318	F	6
3126318	M	8.4
3126319	F	6.1
3126319	M	3.2
3126320	F	8.2
3126320	M	8.7
3126321	M	4.8
3126323	F	6.6
3126323	M	14
3126325	M	7.1
3126326	F	7.3
3126326	M	10.7
3126327	F	9.4
3126327	M	5.7
3126328	F	7.5
3126328	M	10.5
3126329	F	3.9
3126329	M	6.7
3126330	F	6.8
3126330	M	8.6
3126401	F	2.3
3126401	M	3
3126402	F	4
3126402	M	8.9
3126404	F	10.2
3126404	M	8.5
3126405	F	8
3126405	M	9.5
3126406	F	6.9
3126406	M	3.3
3126407	F	7.4
3126407	M	3.5
3126408	F	11.8
3126408	M	12.9
3126410	F	7.3
3126410	M	8.8
3126411	M	7.1
3126412	F	9.2
3126412	M	10.6
3126413	F	16.2
3126413	M	12.2
3126415	F	10
3126415	M	8.4
3126416	F	6.5
3126416	M	10.5
3126501	F	4.5
3126501	M	8.5
3126502	F	6
3126502	M	7.9
3126503	F	5.5
3126503	M	5.6
3126504	F	8
3126504	M	10.4
3126505	F	2.7
3126505	M	4.3
3126506	F	10.6
3126506	M	9.1
3126507	F	8.7
3126507	M	6.2
3126508	F	4
3126508	M	11.4
3126509	F	10.4
3126509	M	8.6
3126510	F	15
3126510	M	10.6
3126511	F	8
3126511	M	10.1
3126512	F	9.6
3126512	M	12
3126513	F	13
3126513	M	5.5
3126514	F	10.4
3126514	M	7
3126515	F	2.6
3126515	M	3.8
3126516	F	9.1
3126516	M	9.8
3126517	F	3.5
3126517	M	10.4
3126518	F	5.1
3126518	M	6.5
3126702	F	8
3126703	F	7.9
3126703	M	6.8
3126704	F	11.3
3126704	M	7.3
3126705	F	3.3
3126705	M	11.4
3126706	F	6.8
3126706	M	5.4
3126707	F	4
3126707	M	3.1
3126708	F	5.6
3126708	M	8.6
3126709	F	8.3
3126709	M	2.5
3126710	F	9.1
3126710	M	4.9
3126711	M	6.7
3126712	F	6.3
3126712	M	6.2
3126713	F	3.5
3126713	M	7.9
3126714	F	5.9
3126715	F	9.1
3126715	M	10
3126716	F	6.4
3126716	M	9.4
3126717	F	5.5
3126718	F	5.6
3126718	M	7
3126719	F	3.9
3126719	M	4.2
3126720	F	3.9
3126720	M	4.9
3126721	F	4.7
3126721	M	4.4
3126722	F	4.7
3126722	M	5.4
3126801	M	5.2
3126802	F	6.3
3126802	M	13.6
3126803	F	3.4
3126804	F	6.7
3126804	M	2.1
3126805	F	2.3
3126806	F	12.7
3126806	M	4.1
3126807	F	7.4
3126807	M	14.9
3126808	F	5.1
3126808	M	7.6
3126809	F	8
3126809	M	2.4
3126811	F	4.7
3126811	M	3.6
3126812	F	8.5
3126812	M	5.3
3126901	F	4.5
3126902	F	3.6
3126902	M	2.8
3126903	F	5.7
3126903	M	8.5
3126904	F	9.2
3126904	M	6
3126905	F	9.2
3126905	M	7.3
3126906	F	3.2
3126907	F	4.1
3126907	M	4
3126908	F	9.6
3126908	M	11.6
3126909	F	5.8
3126909	M	3.8
3127001	F	15.9
3127001	M	4.5
3127002	F	9
3127002	M	6.7
3127003	F	12.5
3127003	M	10.2
3127004	F	7.6
3127004	M	10.4
3127005	F	8.5
3127005	M	8.5
3127006	F	2.6
3127006	M	6.4
3127007	F	3.3
3127007	M	8
3127008	F	10.5
3127008	M	4
3127009	F	5.4
3127010	F	3.5
3127010	M	12.9
3127011	F	8.3
3127011	M	3.2
3127012	F	6.5
3127012	M	9.1
3127013	F	12.7
3127013	M	9
3127014	F	15.6
3127014	M	15
3127015	F	17.6
3127015	M	10.7
3127016	F	14
3127016	M	11.8
3127017	F	10.6
3127017	M	3.4
3127018	F	19.1
3127018	M	14.1
3127019	F	14.2
3127019	M	9.3
3127020	F	12.9
3127020	M	6.8
3127021	F	12.2
3127021	M	13
3127022	F	8.8
3127022	M	8
3127023	F	3.4
3127023	M	6.1
3127024	F	12.7
3127024	M	9.2
3127025	F	8.5
3127025	M	9.9
3127026	F	4
3127026	M	3.2
3127027	F	6.6
3127027	M	4.2
3127028	F	16.5
3127028	M	9.4
3127029	F	14.1
3127029	M	12.4
3127030	F	15
3127030	M	12.1
3127031	F	15.3
3127031	M	8.6
3127032	F	11.7
3127032	M	10.5
3127033	F	10
3127033	M	4.1
3127034	F	8.1
3127035	F	11
3127035	M	7.4
3127036	F	2.5
3127036	M	4.6
3127037	F	14.5
3127037	M	11.5
3127038	F	14.8
3127038	M	13.7
3127039	F	3
3127039	M	4
3127040	F	4.8
3127040	M	6.7
3127041	F	4.4
3127041	M	4.2
3127042	F	7.5
3127042	M	5.2
3127043	F	7.7
3127043	M	12.4
3127044	F	10.6
3127044	M	8.9
3127045	F	10.9
3127045	M	7.4
3127046	F	13
3127046	M	14.3
3127101	F	9.2
3127101	M	11.7
3127103	F	4.8
3127103	M	13.7
3127104	F	7.5
3127104	M	10
3127105	F	4.3
3127105	M	4.9
3127107	F	5.8
3127107	M	8.9
3127110	F	3.6
3127110	M	4.8
3127111	F	8.2
3127111	M	10.4
3127112	F	11
3127112	M	15
3127113	F	8.2
3127113	M	10.9
3127115	F	12.1
3127115	M	11.4
3127201	F	16.8
3127201	M	5.3
3127202	F	3.5
3127202	M	3.4
3127204	F	3.1
3127204	M	11.3
3127205	F	14.1
3127205	M	17.6
3127206	F	11.4
3127206	M	11.9
3127207	F	11
3127207	M	10.6
3127208	F	21.9
3127208	M	14.3
3127209	F	11.1
3127209	M	8
3127210	F	16.7
3127210	M	15.8
3127211	F	6.8
3127211	M	5.6
3127212	F	7.8
3127212	M	9.6
3127213	F	11.1
3127213	M	11.2
3127214	F	10
3127214	M	5.7
3127215	F	9.5
3127215	M	14
3127216	F	7.6
3127216	M	7.7
3127217	F	7.2
3127217	M	4.6
3127301	F	3.8
3127301	M	11.9
3127302	F	11.1
3127302	M	13.5
3127304	F	6
3127304	M	5.2
3127305	F	8
3127305	M	7.5
3127306	F	5.7
3127306	M	6.2
3127307	F	8.3
3127307	M	8.8
3127308	F	2.2
3127308	M	9.2
3127309	M	3.6
3127310	F	8.2
3127310	M	6.9
3127311	F	3
3127311	M	5.6
3127312	F	7.2
3127312	M	16.2
3127313	F	9.2
3127313	M	4.1
3127315	F	8.3
3127315	M	4.3
3127316	F	3.3
3127316	M	5.7
3127317	F	4.9
3127317	M	3.8
3127318	F	11.9
3127318	M	8.6
3127319	F	7.8
3127319	M	3.5
3127320	M	12.5
3127321	F	5.2
3127321	M	3.5
3127322	M	4.1
3127323	F	5.7
3127323	M	8.4
3127324	F	8.4
3127324	M	8.6
3127325	F	7.2
3127325	M	8.7
3127326	F	3.2
3127326	M	6
3127327	F	9.5
3127327	M	9.4
3127329	F	9.3
3127329	M	6.5
3127330	F	13.4
3127330	M	11.4
3127331	F	6.7
3127331	M	8.7
3127332	F	12.5
3127332	M	5.6
3127333	F	3
3127333	M	9.6
3127334	F	3.5
3127334	M	3.9
3127335	F	8.4
3127335	M	7.8
3127336	F	7.9
3127336	M	9.4
3127337	F	5.3
3127337	M	10
3127338	F	14.5
3127338	M	9
3127339	F	8.6
3127339	M	5.8
3127340	F	4.4
3127340	M	7.1
3127341	F	7.3
3127341	M	6.8
3127342	F	11.1
3127342	M	15
3127343	F	5.6
3127343	M	7.9
3127344	F	8.6
3127344	M	5.3
3127345	F	7.3
3127345	M	11.8
3127346	F	9.9
3127346	M	1.9
3127347	F	5.6
3127347	M	3.9
3127348	F	2.3
3127348	M	7.1
3127349	F	13.9
3127349	M	10.6
3127350	F	6.7
3127350	M	8.4
3127351	M	3.5
3127352	F	4.4
