SA1_7DIGITCODE_2016	HomeCensusNight	persons
1103410	0	9
1103410	1	391
1103411	0	19
1103411	1	466
1103412	0	19
1103412	1	510
1103413	0	22
1103413	1	351
1103414	0	30
1103414	1	391
1103415	0	11
1103415	1	185
1103416	0	12
1103416	1	399
1103417	0	17
1103417	1	394
1103418	0	20
1103418	1	645
1103419	0	11
1103419	1	305
1103501	0	18
1103501	1	611
1103502	0	7
1103502	1	309
1103503	0	20
1103503	1	487
1103504	0	17
1103504	1	439
1103505	0	26
1103505	1	408
1103506	0	12
1103506	1	554
1103507	0	12
1103507	1	308
1103508	0	25
1103508	1	441
1103509	0	19
1103509	1	329
1103510	0	12
1103510	1	455
1103511	0	14
1103511	1	502
1103512	0	7
1103512	1	302
1103513	0	22
1103513	1	292
1103514	0	20
1103514	1	367
1103515	0	17
1103515	1	266
1103516	0	13
1103516	1	266
1103517	0	3
1103517	1	44
1103601	1	220
1103602	0	4
1103602	1	228
1103603	0	26
1103603	1	493
1103604	0	5
1103604	1	276
1103605	0	23
1103605	1	387
1103606	0	5
1103606	1	290
1103607	0	15
1103607	1	191
1103608	0	20
1103608	1	491
1103609	0	8
1103609	1	371
1103610	0	20
1103610	1	510
1103611	0	17
1103611	1	331
1103612	0	3
1103612	1	170
1103613	0	18
1103613	1	359
1103614	0	17
1103614	1	502
1103615	0	18
1103615	1	239
1103616	0	8
1103616	1	311
1103617	0	13
1103617	1	353
1103618	0	3
1103618	1	249
1103619	0	14
1103619	1	474
1103620	0	24
1103620	1	475
1103621	0	19
1103621	1	534
1103622	0	6
1103622	1	266
1103701	0	22
1103701	1	630
1103702	0	27
1103702	1	477
1103703	0	30
1103703	1	639
1103704	0	8
1103704	1	224
1103705	0	22
1103705	1	455
1103706	0	19
1103706	1	359
1103707	0	28
1103707	1	463
1103708	0	11
1103708	1	218
1103709	0	21
1103709	1	613
1103710	0	9
1103710	1	370
1103711	0	10
1103711	1	315
1103712	0	5
1103712	1	270
1103713	0	35
