SA1_7DIGITCODE_2016	medianTotalFamilyIncome
2139505	60632
2139506	87048
2139507	104936
2139508	82836
2139509	95628
2139511	112632
2139512	115440
2139513	79196
2139514	73892
2139515	59748
2139516	75348
2139517	83564
2139518	
2139519	
2139520	78832
2139521	82316
2139522	89336
2139601	59384
2139602	70200
2139603	74256
2139604	63076
2139605	73840
2139606	91624
2139607	92612
2139608	53768
2139609	84500
2139610	68224
2139611	42848
2139612	60632
2139613	43732
2139614	49712
2139615	71500
2139801	84500
2139802	63960
2139803	61984
2139804	
2139805	
2139806	65780
2139807	66924
2139808	
2139809	100724
2139810	59540
2139811	65416
2139812	68900
2139813	59176
2139814	66040
2139815	96616
2139901	
2139902	79092
2139903	53612
2139904	56316
2139905	60632
2139906	45760
2139907	40560
2139908	80860
2139909	75556
2139910	70720
2139911	77116
2139912	75452
2139913	57200
2139914	62192
2139915	71084
2139916	65624
2139917	96044
2140001	56056
2140002	74724
2140003	79300
2140004	56836
2140005	49140
2140006	50388
2140007	52624
2140008	45916
2140009	55224
2140010	50908
2140011	60788
2140012	63492
2140013	58500
2140014	48048
2140015	51480
2140016	70772
2140017	55536
2140018	67184
2140019	68224
2140020	62816
2140021	54184
2140101	42900
2140102	62088
2140103	56836
2140104	52936
2140105	63076
2140106	60216
2140107	47424
2140108	60632
2140109	80184
2140110	59540
2140111	65832
2140112	71500
2140113	49660
2140114	75920
2140115	73112
2140116	72904
2140117	55692
2140118	65624
2140119	61724
2140120	61256
2140121	65728
2140122	49660
2140123	62192
2140201	67756
2140202	59384
2140203	55588
2140204	63440
2140205	68224
2140206	58500
2140207	68224
2140208	61464
2140209	48516
2140210	53092
2140211	72748
2140212	66768
2140213	73112
2140301	52728
2140302	67964
2140303	
2140304	64012
2140305	76856
2140306	81224
2140307	92248
2140308	75504
2140309	55900
2140310	66612
2140311	52572
2140312	
2140401	73424
2140402	87048
2140403	79612
2140404	82316
2140405	81224
2140406	68224
2140407	60112
2140408	59176
2140409	63492
2140411	93184
2140412	87048
2140413	65572
2140414	82628
2140415	66196
2140416	53924
2140417	66716
2140418	67756
2140419	76284
2140420	102076
2140421	50232
2140422	59072
2140423	100724
2140424	67288
2140425	93184
2140426	65572
2140427	63024
2140428	78520
2140501	72748
2140502	71448
2140503	63856
2140504	75816
2140505	66508
2140506	70668
2140507	85748
2140508	72280
2140509	96200
2140510	76648
2140511	65832
2140512	50024
2140513	57200
2140514	72124
2140515	79612
2140516	40924
2140517	40976
2140518	58500
2140519	77428
2140520	68588
2140521	75816
2140522	71500
2140523	73632
2140601	65624
2140602	62452
2140603	52728
2140604	67600
2140605	79248
2140606	79300
2140607	76648
2140608	
2140609	73320
2140610	55224
2140611	67600
2140612	76856
2140613	97500
2140614	72176
2140615	69524
2140616	86632
2140617	74724
2140618	67444
2140619	52364
2140620	68588
2140621	50752
2140622	93756
2140623	61724
2140624	64012
2140625	65936
2140626	63336
2140627	116168
2140628	
2140629	77636
2140630	94536
2140631	74048
2140632	85540
2140633	87724
2140634	83408
2140635	93808
2140636	68900
2140637	84500
2140638	77376
2140639	105976
2140640	96980
2140701	66300
2140702	78520
2140703	76856
2140704	48048
2140705	63076
2140706	62816
2140707	57772
2140708	64116
2140709	64116
2140710	45760
2140711	68432
2140712	82316
2140713	73112
2140714	
2140715	87724
2140716	77428
2140717	75608
2140718	76180
2140719	63232
2140720	53612
2140721	75296
2140722	67184
2140723	73320
2140724	63648
2140725	72384
2140726	80184
2140727	75816
2140728	68588
2140729	75348
2140730	70668
2140801	51532
2140802	61984
2140803	78676
2140804	68796
2140805	70200
2140806	62348
2140807	85748
2140808	74724
2140809	81900
2140810	88816
2140811	73476
2140812	63180
2140813	72748
2140901	65936
2140902	72384
2140903	55224
2140904	66872
2140905	68692
2140906	44200
2140907	91988
2140908	59384
2140909	96876
2140910	71500
2140911	
2141001	68016
2141002	81224
2141003	60944
2141004	70200
2141005	55224
2141006	66508
2141007	45760
2141008	44200
2141009	71500
2141010	50908
2141011	40768
2141012	56732
2141013	60112
2141014	67184
2141101	65780
2141102	70564
2141103	90116
2141104	42172
2141105	78520
2141106	77116
2141107	51220
2141108	61464
2141109	60632
2141110	41444
2141111	67184
2141112	48256
2141113	72020
2141114	64116
2141115	89960
2141116	65936
2141117	92040
2141201	69628
2141202	52884
2141203	64428
2141204	79612
2141205	56836
2141206	73112
2141207	82836
2141208	70200
2141209	76492
2141301	76648
2141302	73216
2141303	105300
2141304	73788
2141305	87724
2141306	73320
2141307	76024
2141308	71500
2141309	56004
2141310	68224
2141311	86632
2141312	76076
2141313	63336
2141314	77324
2141315	40560
2141316	74256
2141317	69524
2141318	70824
2141319	60944
2141320	69056
2141321	76752
2141322	55900
2141323	60112
2141324	56472
2141325	70668
2141326	73424
2141327	70096
2141328	58500
2141329	85072
2141330	75816
2141331	51012
2141332	60944
2141333	58500
2141334	63492
2141335	75348
2141336	54340
2141337	
2141338	46124
2141401	61412
2141402	60112
2141403	66248
2141404	69316
2141405	45760
2141406	53092
2141407	71500
2141408	47736
2141409	67496
2141410	81224
2141411	63856
2141413	67340
2141415	56108
2141416	61724
2141417	48984
2141418	92612
2141419	85748
2141420	61360
2141421	72072
2141501	63492
2141502	67340
2141503	61724
2141504	48516
2141505	56316
2141506	65364
2141507	60528
2141508	57564
2141509	79196
2141510	56628
2141511	72384
2141512	76440
2141513	82316
2141514	71500
2141515	64116
2141516	49036
2141518	110500
2141520	69316
2141521	86528
2141522	
2141523	
2141524	38636
2141525	85644
2141601	111644
2141603	64116
2141604	73632
2141605	81224
2141606	72540
2141607	84500
2141608	77532
2141609	99320
2141610	81588
2141611	100256
2141612	69524
2141613	
2141614	84500
2141615	70408
2141616	70928
2141617	87724
2141618	55900
2141619	111800
2141620	106756
2141621	44928
2141622	114452
2141623	71032
2141624	84500
2141625	63076
2141626	59904
2141627	49712
2141628	42016
2141629	40820
2141630	71916
2141631	69316
2141632	76648
2141633	86112
2141634	55224
2141635	74984
2141636	55224
2141637	96252
2141638	90324
2141639	101088
2141640	61724
2141641	88348
2141642	51532
2141643	56056
2141644	71500
2141645	108004
2141646	84448
2141701	74984
2141702	81588
2141703	46436
2141704	48048
2141705	43940
2141706	46280
2141707	59956
2141708	50544
2141709	116168
2141710	95316
2141711	101088
2141713	96772
2141714	92092
2141715	74724
2141716	115440
2141718	106600
2141719	95212
2141720	73008
2141721	70408
2141722	68796
2141723	70200
2141724	53300
2141725	48412
2141726	58084
2141727	55900
2141728	57044
2141729	57564
2141730	61516
2141731	59540
2141732	53508
2141733	83200
2141734	49348
2141736	94224
2141737	72904
2141738	73892
2141739	92300
2141740	86892
2141741	74984
2141742	72540
2141743	55432
2141744	63336
2141745	59384
2141746	63856
2141747	51428
2141748	56472
2141749	63336
2141750	75816
2141751	78884
2141752	111696
2141753	114972
2141754	
2141755	117000
2141756	95004
2141757	95316
2141801	81900
2141802	87724
2141803	102648
2141804	97500
2141805	84916
2141806	79248
2141807	74724
2141808	79612
2141809	74724
2141810	94224
2141811	99632
2141812	92612
2141813	84500
2141901	60632
2141902	79612
2141903	51012
2141904	62192
2141905	67756
2141906	65520
2141907	67496
2141908	69732
2141909	102648
2141910	57408
2141911	61724
2141912	104988
2141913	76856
2141914	90324
2141915	76336
2141916	60840
2141917	61256
2141918	81224
2141919	82628
2141920	96980
2141921	67600
2141922	60632
2141923	66456
2141924	96200
2141925	79092
2141926	79300
2141927	92768
2141928	60632
2141929	79040
2142001	49660
2142002	45344
2142003	81224
2142004	67756
2142005	91624
2142006	63648
2142007	96044
2142008	110864
2142009	53612
2142010	66612
2142011	62816
2142012	61048
2142013	61984
2142014	87724
2142015	80600
2142016	61048
2142017	99112
2142018	70564
2142019	48516
2142020	57304
2142021	93600
2142022	72384
2142023	84500
2142024	65884
2142025	94224
2142026	67860
2142027	93184
2142028	53872
2142029	63752
2142030	86476
2142031	66872
2142101	76336
2142102	94224
2142103	78936
2142104	78520
2142105	71032
2142106	86632
2142107	52832
2142108	65520
2142109	98280
2142110	98280
2142112	63336
2142113	61724
2142114	117000
2142115	57772
2142116	63856
2142117	67184
2142118	62504
2142119	67340
2142120	64636
2142121	70200
2142122	74256
2142123	78416
2142124	72904
2142125	70772
2142126	76492
2142127	68016
2142128	69056
2142129	72020
2142130	
2142201	
2142202	61724
2142203	67756
2142204	60112
2142205	63336
2142207	
2142208	56524
2142209	65572
2142210	62816
2142211	44928
2142212	88816
2142213	66612
2142214	70616
2142215	79612
2142216	
2142217	100724
2142218	92404
2142219	87724
2142221	78624
2142222	61048
2142223	69836
2142224	52832
2142225	76856
2142226	100048
2142227	77532
2142228	59540
2142229	92248
2142230	99112
2142231	89648
2142232	73320
2142233	70668
2142234	47632
2142235	66872
2142301	84500
2142302	46800
2142303	52832
2142304	71500
2142305	64116
2142306	65364
2142307	87048
2142308	69316
2142309	65884
2142310	92040
2142311	53300
2142312	84500
2142313	80132
2142314	83772
2142315	64480
2142316	96200
2142317	84500
2142318	53612
2142319	75816
2142320	65728
2142321	66612
2142322	74724
2142401	91624
2142402	137072
2142403	96876
2142404	71916
2142405	88816
2142406	102648
2142407	107900
2142408	104832
2142409	111644
2142410	106704
2142411	
2142412	95836
2142413	110916
2142414	85748
2142415	109772
2142416	67912
2142417	110500
2142418	101608
2142419	94224
2142420	100724
2142421	86320
2142422	112892
2142423	85904
2142424	87724
2142425	106496
2142426	107224
2142427	95472
2142428	102648
2142429	108004
2142430	118612
2142431	94224
2142432	88816
2142433	92040
2142434	105612
2142501	74516
2142502	71500
2142503	66872
2142504	86632
2142505	67496
2142506	78676
2142507	74724
2142508	76336
2142509	97500
2142510	76648
2142511	67444
2142512	70200
2142513	76492
2142514	72072
2142515	84500
2142516	85384
2142517	74724
2142518	70928
2142519	80340
2142520	91728
2142521	66872
2142522	100724
2142523	79612
2142524	92248
2142525	92872
2142526	75192
2142527	92612
2142528	83408
2142529	94224
2142530	81224
2142531	81224
2142532	97500
2142533	87048
2142534	79872
2142535	86892
2142601	131456
2142602	98748
2142603	108056
2142604	102856
2142605	120692
2142606	103532
2142607	101816
2142608	108316
2142609	108524
2142610	120224
2142611	78832
2142612	113932
2142613	101348
2142614	96668
2142615	101816
2142616	115700
2142617	117000
2142618	117000
2142619	105716
2142620	97500
2142621	133224
2142622	115908
2142623	117884
2142624	109200
2142625	119964
2142626	112632
2142627	115128
2142628	89856
2142629	97500
2142630	108004
2142631	105456
2142632	101088
2142633	112632
2142634	128336
2142701	103428
2142702	101192
2142703	111124
2142704	85904
2142705	102492
2142706	98384
2142707	130624
2142708	92612
2142709	110968
2142710	104728
2142711	96408
2142712	94796
2142713	103012
2142714	114400
2142715	92092
2142716	110916
2142717	117000
2142718	108888
2142719	92300
2142720	110968
2142721	95836
2142722	113256
2142723	93600
2142724	111800
2142725	126880
2142726	111436
2142727	87724
2142728	110500
2142801	
2142802	71500
2142803	91780
2142804	100360
2142805	56056
2142806	71812
2142807	74984
2142808	104936
2142809	92300
2142810	95056
2142811	94692
2142812	106444
2142813	84500
2142814	82056
2142815	80184
2142816	97500
2142817	106444
2142818	95836
2142819	77532
2142820	69316
2142821	95160
2142822	104780
2142823	87724
2142824	81224
2142825	81224
2142826	120224
2142827	105352
2142828	72280
2142829	76960
2142830	82056
2142831	112320
2142832	92508
2142833	97500
2142834	101088
2142835	63336
2142836	85488
2142837	83408
2142838	60476
2142839	97500
2142840	79300
2142901	98176
2142902	113464
2142903	124540
2142904	105924
2142905	116272
2142906	92248
2142907	80184
2142908	98748
2142909	117000
2142910	93444
2142911	80184
2142912	93184
2142913	83304
2142914	93184
2142915	63648
2142916	115336
2142917	104832
2142918	73112
2142919	77428
2142920	100724
2142921	100724
2142922	82472
2142923	112632
2142924	92040
2142925	92612
2143001	99788
2143002	102596
2143003	100464
2143004	84032
2143005	117000
2143006	100204
2143007	107224
2143008	98280
2143009	83304
2143010	104520
2143011	94484
2143012	99008
2143013	90324
2143014	117000
2143015	111800
2143016	89336
2143017	116480
2143018	120224
2143019	101088
2143020	123136
2143021	92872
2143022	110812
2143023	91312
2143024	98852
2143025	102180
2143026	97500
2143027	96616
2143028	95576
2143029	101088
2143030	117832
2143031	106340
2143032	117000
2143033	85072
2143035	81224
2143036	98072
2143037	95056
2143038	
2143039	63232
2143040	105144
2143041	114192
2143042	116220
2143043	112632
2143101	67704
2143102	
2143103	94536
2143104	66092
2143105	60112
2143106	67600
2143107	40144
2143108	75140
2143109	74724
2143110	83668
2143111	89648
2143112	88816
2143113	73632
2143114	93652
2143115	77428
2143116	80184
2143117	75348
2143118	74724
2143119	72020
2143120	70200
2143121	96824
2143122	77376
2143123	92612
2143124	81536
2143125	75348
2143126	69004
2143127	90064
2143128	95836
2143129	83564
2143130	63648
2143131	74724
2143132	81692
2143133	68224
2143201	85644
2143202	68224
2143203	60892
2143204	92248
2143205	74724
2143206	55588
2143207	63076
2143208	66196
2143209	64116
2143210	69836
2143211	
2143212	70928
2143213	60632
2143214	70252
2143215	
2143216	70356
2143217	
2143218	70200
2143219	69836
2143220	61724
2143221	70408
2143222	62608
2143223	66716
2143224	
2143225	78624
2143226	75348
2143301	96044
2143302	82056
2143303	63648
2143304	84500
2143305	87412
2143306	83200
2143307	93912
2143308	91988
2143309	76648
2143310	88504
2143311	
2143312	78728
2143313	112268
2143314	88348
2143315	84136
2143316	85904
2143317	99112
2143318	86320
2143319	74516
2143320	100724
2143321	92508
2143322	82316
2143401	88140
2143402	100724
2143403	87984
2143404	75816
2143405	91728
2143406	100724
2143407	101452
2143408	105352
2143409	94900
2143410	68224
2143411	104312
2143412	94016
2143413	94536
2143414	103116
2143415	96408
2143416	83616
2143417	95576
2143418	99216
2143419	95316
2143420	106704
2143421	99892
2143422	94692
2143424	78676
2143425	87724
2143426	100724
2143427	86632
2143428	85800
2143429	74152
2143430	94224
2143501	89752
2143502	89336
2143503	109356
2143504	111436
2143505	91572
2143506	98540
2143507	112528
2143508	95784
2143509	97188
2143510	105560
2143511	96772
2143512	96564
2143513	121004
2143514	84916
2143515	104468
2143516	87724
2143517	91624
2143518	93184
2143519	123240
2143520	97500
2143521	115024
2143522	117000
2143523	96096
2143524	103532
2143525	90948
2143601	94224
2143602	87152
2143603	89336
2143604	104884
2143605	64428
2143606	104832
2143607	109616
2143608	80860
2143609	101660
2143610	
2143611	96304
2143612	75608
2143613	111124
2143614	90324
2143615	101088
2143616	76856
2143617	112320
2143618	93600
2143619	122876
2143620	78884
2143621	83304
2143622	104988
2143623	89024
2143624	87256
2143625	104676
2143626	66872
2143627	108212
2143628	88608
2143629	
2143630	94536
2143631	
2143632	
2143633	98540
2143634	71500
2143635	60632
2143701	90064
2143702	78156
2143703	81224
2143704	92768
2143705	85592
2143706	85904
2143707	69056
2143708	85124
2143801	74256
2143802	65884
2143803	84500
2143804	89336
2143805	88192
2143806	80600
2143807	61724
2143808	65520
2143809	104832
2143810	72904
2143811	100360
2143812	72852
2143813	92924
2143814	90012
2143815	88504
2143816	62504
2143817	77532
2143818	80808
2143819	83252
2143820	64480
2143821	78468
2143822	69576
2143823	
2143824	78624
2143825	74360
2143826	81224
2143827	73164
2143828	69524
2143829	75816
2143830	86112
2143831	72384
2143832	72280
2143833	65884
2143834	70980
2143835	81068
2143836	72748
2143837	76648
2143838	68536
2143839	101192
2143840	52728
2143841	67444
2143842	76180
2143843	80704
2143844	52936
2143845	56628
2143846	83408
2143847	38064
2143848	73632
2143849	69836
2143850	51116
2143851	53872
2143901	108732
2143902	122096
2143903	109564
2143904	
2143905	90116
2143906	52416
2143907	133016
2144001	77376
2144002	64324
2144003	76336
2144004	69316
2144005	65832
2144006	65988
2144007	
2144008	70564
2144009	65520
2144010	81224
2144011	71500
2144012	68224
2144013	76648
2144014	66300
2144015	68536
2144016	63180
2144017	85748
2144101	
2144102	77428
2144103	66612
2144104	63752
2144105	89856
2144106	80600
2144107	87724
2144108	58032
2144109	74984
2144110	84500
2144111	59696
2144112	72488
2144113	73944
2144114	79612
2144115	65728
2144116	77324
2144117	72748
2144118	79976
2144119	75348
2144120	92872
2144121	70356
2144122	80860
2144201	79612
2144202	
2144203	108472
2144204	85280
2144205	84500
2144206	75452
2144207	111800
2144208	95628
2144209	83824
2144210	78676
2144211	77220
2144212	112372
2144213	104468
2144214	76752
2144215	95056
2144216	79300
2144217	76752
2144218	79768
2144219	85228
2144220	89960
2144221	79768
2144222	101348
2144223	88192
2144224	86112
2144225	80964
2144226	79092
2144227	89856
2144301	
2144302	84916
2144303	74984
2144304	87724
2144305	74724
2144306	84500
2144307	73112
2144308	73112
2144309	71500
2144310	72124
2144311	76024
2144312	87984
2144313	88088
2144314	86112
2144315	74724
2144316	74724
2144317	74724
2144318	90532
2144319	69316
2144320	78832
2144321	62816
2144322	73892
2144323	
2144324	78676
2144325	64480
2144326	74724
2144327	83668
2144328	75452
2144329	85280
2144330	80808
2144331	66456
2144332	95316
2144333	63648
2144334	78884
2144335	101920
2144336	70200
2144401	80444
2144402	74984
2144403	77428
2144404	73216
2144405	86216
2144406	84500
2144407	68224
2144408	89856
2144409	91572
2144410	78572
2144411	80496
2144412	72436
2144413	60632
2144414	71240
2144415	73320
2144416	84760
2144417	82004
2144418	85384
2144419	90480
2144420	81224
2144421	81068
2144422	
2144423	79976
2144424	40352
2144501	71500
2144502	91728
2144503	122044
2144504	97240
2144505	100256
2144601	76440
2144602	83044
2144603	88088
2144604	88816
2144605	78780
2144606	88816
2144607	70876
2144608	75504
2144609	86112
2144610	80704
2144611	83824
2144612	95836
2144613	81224
2144614	91884
2144615	73632
2144616	95836
2144617	73736
2144618	80964
2144619	102856
2144620	72384
2144621	71032
2144622	89180
2144623	78988
2144624	77480
2144625	74516
2144626	112944
2144627	74360
2144628	66040
2144629	71500
2144630	72800
2144631	79872
2144632	77324
2144633	103220
2144634	89180
2144635	83980
2144636	78624
2144637	60632
2144638	70772
2144639	86112
2144640	
2144641	89076
2144642	93600
2144643	73216
2144644	83668
2144645	81224
2144646	84500
2144647	91728
2144648	75452
2144649	99112
2144650	89024
2144651	
2144652	105196
2144653	95108
2144654	72748
2144701	92092
2144702	66612
2144703	82316
2144704	70304
2144705	100984
2144706	90532
2144707	72384
2144708	101972
2144709	89856
2144710	84500
2144711	77324
2144712	92872
2144713	92612
2144714	87724
2144715	91936
2144716	100984
2144717	96200
2144718	86216
2144719	118768
2144720	85904
2144721	86892
2144722	76336
2144723	112632
2144724	95316
2144725	80132
2144726	89856
2144727	81224
2144728	81588
2144729	97500
2144730	84500
2144801	84500
2144802	98644
2144803	107536
2144804	109772
2144805	81536
2144806	87048
2144807	99632
2144808	75816
2144809	88556
2144810	98072
2144811	73632
2144812	91884
2144813	106236
2144814	72540
2144815	92300
2144816	96824
2144817	109824
2144818	74464
2144819	99632
2144820	75348
2144821	87516
2144822	88816
2144823	86320
2144824	130416
2144825	117000
2144826	93704
2144827	86476
2144828	102336
2144829	91520
2144830	107900
2144831	
2144832	101348
2144833	88608
2144834	92456
2144835	74724
2144901	113204
2144902	101192
2144903	87932
2144904	99112
2144905	89336
2144906	109304
2144907	84968
2144908	111332
2145001	82004
2145002	76024
2145003	71500
2145004	88816
2145005	73112
2145006	85644
2145007	105664
2145008	92456
2145009	63492
2145010	76336
2145011	86424
2145012	75452
2145013	93184
2145014	94224
2145015	99112
2145016	77012
2145017	105456
2145018	97500
2145019	82316
2145020	
2145021	107796
2145022	71500
2145023	93184
2145024	100256
2145025	80600
2145026	86840
2145027	78988
2145028	107068
2145029	91728
2145030	90116
2145031	57564
2145032	98488
2145033	89492
2145034	76492
2145035	87360
2145036	88504
2145037	97500
2145038	103116
2145101	105820
2145102	117572
2145103	59280
2145104	65520
2145105	85488
2145106	79508
2145107	79768
2145108	72488
2145109	91728
2145110	114660
2145111	81900
2145112	73632
2145113	102752
2145114	99112
2145115	104780
2145116	110136
2145117	98020
2145118	96096
2145119	107224
2145120	93444
2145121	91728
2145122	111800
2145123	85176
2145124	91624
2145125	98748
2145126	49868
2145201	82732
2145202	99632
2145203	84968
2145204	75816
2145205	87724
2145206	106600
2145207	
2145208	93704
2145209	106080
2145210	95524
2145211	98540
2145212	104676
2145213	96200
2145301	75088
2145302	71500
2145303	150748
2145304	88816
2145305	73424
2145306	78832
2145307	81224
2145308	79872
2145309	85124
2145310	94224
2145311	
2145312	88088
2145313	98748
2145314	70668
2145315	70460
2145316	109200
2145317	74360
2145318	56524
2145319	84500
2145320	75816
2145321	89336
2145322	85280
2145323	76648
2145324	98904
2145325	74724
2145326	135772
2145327	82628
2145328	84500
2145329	72176
2145330	53040
2145331	78624
2145332	70876
2145333	76752
2145401	108316
2145402	101816
2145403	62816
2145404	92508
2145405	76336
2145406	75348
2145407	68224
2145408	71500
2145409	71500
2145410	85488
2145411	79040
2145412	87152
2145413	75972
2145414	61880
2145415	78728
2145416	95628
2145417	103220
2145418	89752
2145419	82628
2145420	74724
2145421	75504
2145422	70564
2145423	95628
2145424	65468
2145425	94900
2145426	77220
2145427	102336
2145428	69732
2145429	87724
2145430	106860
2145431	63492
2145432	79248
2145433	82628
2145434	
2145435	95056
2145436	84500
2145501	102752
2145502	98644
2145503	98124
2145504	92924
2145505	91884
2145506	76960
2145507	95628
2145508	91780
2145509	102492
2145510	79092
2145511	80600
2145512	93340
2145513	77480
2145514	91572
2145515	84760
2145516	82056
2145517	67444
2145518	85748
2145519	70772
2145520	94224
2145521	93704
2145522	106756
2145523	85280
2145524	77324
2145525	87360
2145526	88504
2145527	87724
2145528	77116
2145529	94692
2145530	82732
2145531	104832
2145532	85540
2145533	92612
2145534	76648
2145601	72228
2145602	105144
2145603	93756
2145604	77584
2145605	62192
2145606	
2145607	83668
2145608	51064
2145609	88816
2145610	83668
2145611	82160
2145612	86216
2145613	70044
2145614	65728
2145615	85644
2145616	63752
2145617	69836
2145618	77532
2145619	76180
2145620	80600
2145621	68900
2145622	61724
2145623	70200
2145624	74256
2145625	75088
2145626	82836
2145627	
2145628	
2145629	71084
2145630	72852
2145631	73112
2145632	79040
2145701	101088
2145702	115284
2145703	107224
2145704	107224
2145705	104780
2145706	98020
2145707	91832
2145708	110916
2145709	88244
2145710	108316
2145711	109356
2145712	106444
2145713	110864
2145714	98644
2145715	98540
2145716	87360
2145717	110500
2145718	99216
2145719	96408
2145720	99320
2145721	
2145722	121940
2145723	89336
2145724	109304
2145725	96200
2145726	119132
2145727	110864
2145728	114400
2145729	99424
2145730	99632
2145731	104572
2145801	84500
2145802	89336
2145803	92040
2145804	85904
2145805	78624
2145806	77012
2145807	91832
2145808	76960
2145809	112112
2145810	81588
2145811	90324
2145812	91832
2145813	113724
2145814	73008
2145815	78676
2145816	83564
2145817	75920
2145818	82836
2145819	83668
2145820	75816
2145821	82836
2145822	102856
2145823	88504
2145824	90272
2145825	98748
2145826	81900
2145827	89752
2145828	95316
2145829	84500
2145830	98384
2145831	100256
2145832	97916
2145833	74724
2145834	88816
2145835	83772
2145836	72956
2145837	92300
2145901	56004
2145902	61412
2145903	75816
2145904	63856
2145905	61880
2145906	70408
2145907	67964
2145908	82732
2145909	64584
2145910	69316
2145911	63024
2145912	56576
2145913	59072
2145914	57200
2145915	65624
2145916	64116
2145917	70096
2145918	69056
2145919	66872
2145920	62816
2145921	66092
2145922	73216
2145923	60788
2146001	64064
2146002	54808
2146003	56836
2146004	59644
2146005	53456
2146006	65624
2146007	58812
2146008	70096
2146009	60008
2146010	60840
2146011	69732
2146012	69472
2146013	67288
2146014	53872
2146015	63700
2146016	56836
2146017	53976
2146018	62660
2146019	63024
2146020	58500
2146021	64272
2146022	62348
2146023	55068
2146024	60736
2146025	56524
2146026	70564
2146027	73632
2146028	69316
2146029	64012
2146030	53924
2146031	62816
2146032	68224
2146033	66612
2146034	67496
2146035	56836
2146101	75192
2146102	79456
2146103	86112
2146104	97500
2146105	77220
2146106	72904
2146107	73164
2146108	
2146109	69316
2146110	95056
2146111	73736
2146112	50024
2146113	116376
2146201	84136
2146202	100152
2146203	97500
2146204	89596
2146205	85644
2146206	104884
2146207	77324
2146208	85072
2146209	88816
2146210	93444
2146211	97500
2146212	97916
2146213	112944
2146301	100308
2146302	107640
2146303	72280
2146304	111800
2146305	108316
2146306	118040
2146307	101816
2146308	101088
2146309	98748
2146310	98644
2146311	89648
2146312	104468
2146313	92092
2146314	87724
2146315	95524
2146316	94484
2146317	108784
2146318	93756
2146319	93132
2146320	104780
2146321	98488
2146322	101348
2146323	80600
2146324	102076
2146325	102492
2146326	105040
2146327	92300
2146328	91884
2146329	81224
2146330	125268
2146331	85904
2146332	117832
2146333	96980
2146334	97500
2146335	95108
2146336	107016
2146337	94224
2146338	81224
2146339	106600
2146340	99112
2146341	121056
2146342	89024
2146343	101504
2146344	86892
2146401	100204
2146402	100048
2146403	124072
2146404	119548
2146405	132860
2146406	100724
2146407	124748
2146408	133640
2146409	123084
2146410	118508
2146411	124904
2146412	114920
2146413	126412
2146414	93132
2146415	106184
2146416	
2146501	107068
2146502	64272
2146503	101452
2146504	105560
2146505	100724
2146506	106964
2146507	104416
2146508	102908
2146509	104624
2146510	108316
2146511	110812
2146512	106860
2146513	104832
2146514	102336
2146515	85332
2146516	87724
2146517	108992
2146518	108160
2146519	104988
2146520	
2146521	123812
2146522	97500
2146523	115700
2146524	112944
2146525	119236
2146526	107068
2146527	102752
2146528	117676
2146529	113620
2146530	101816
2146531	113100
2146532	110916
2146533	114140
2146534	94016
2146535	112112
2146536	
2146537	108784
2146538	101972
2146539	117520
2146540	110500
2146541	112320
2146542	113360
2146543	97968
2146544	120432
2146545	101816
2146546	116012
2146547	110084
2146548	
2146601	98384
2146602	114296
2146603	106600
2146604	90428
2146605	117572
2146606	97500
2146607	114972
2146608	114972
2146609	114140
2146610	124436
2146611	112788
2146612	126724
2146613	105300
2146614	120224
2146615	107536
2146616	116480
2146617	108680
2146618	107328
2146619	106340
2146620	108732
2146621	109824
2146622	115232
2146623	114504
2146624	99632
2146625	102336
2146626	95108
2146701	71500
2146702	119704
2146703	87984
2146704	66456
2146705	72020
2146706	60424
2146707	58500
2146708	73216
2146709	64532
2146710	70824
2146711	78676
2146712	69056
2146713	63076
2146714	
2146715	82472
2146716	73736
2146717	49348
2146718	104312
2146719	50076
2146720	73112
2146721	71500
2146722	48516
2146723	63180
2146724	87256
2146725	49608
2146726	59904
2146727	50232
2146728	70668
2146729	115700
2146730	67496
2146731	85748
2146732	59748
2146733	70200
2146734	62920
2146735	108004
2146736	67184
2146737	56316
2146738	130832
2146739	61152
2146740	89076
2146741	59748
2146742	62660
2146743	66612
2146744	76596
2146745	61464
2146746	71500
2146747	69628
2146748	61412
2146801	105456
2146802	75244
2146803	76336
2146804	75088
2146805	65624
2146806	117000
2146807	87984
2146808	83876
2146809	120224
2146810	68224
2146811	96824
2146812	75816
2146813	85124
2146814	94224
2146815	
2146816	73164
2146817	67184
2146818	85540
2146819	108316
2146820	78728
2146821	73112
2146822	96044
2146823	69056
2146824	66040
2146825	126724
2146826	125424
2146827	83408
2146828	158860
2146901	100256
2146902	68692
2146903	111436
2146904	76076
2146905	61724
2146906	47268
2146907	57668
2146908	48620
2146909	58500
2146910	46280
2146911	59020
2146912	69316
2146913	62348
2146914	64220
2146915	47632
2146916	65312
2146917	57408
2146918	68640
2146919	55224
2146920	65832
2146921	84448
2146922	51376
2146923	105716
2146924	48256
2146925	81900
2146926	63076
2146927	70304
2146928	71500
2146929	34112
2146930	63336
2146931	50648
2146932	85176
2146933	78780
2146934	61932
2146935	58812
2146936	73632
2146937	68224
2146938	70668
2146939	67600
2146940	92612
2146941	97500
2146942	65728
2146943	38948
2146944	48516
2147001	89856
2147002	84500
2147003	73320
2147004	73112
2147005	73528
2147006	57616
2147007	78572
2147008	53300
2147009	62608
2147010	67860
