SA1_7DIGITCODE_2016	medianMortgageRepayment
1106702	22092
1106703	17460
1106704	13140
1106705	21108
1106706	26004
1106707	25200
1106708	12996
1106709	15600
1106710	16056
1106711	15600
1106712	15864
1106713	16380
1106714	15600
1106715	15600
1106716	18744
1106717	16896
1106718	16848
1106719	14460
1106720	14040
1106721	13260
1106722	12480
1106723	16644
1106724	16812
1106725	21600
1106726	16248
1106727	11340
1106728	12216
1106729	14172
1106801	10800
1106802	9624
1106803	7800
1106804	8976
1106805	8580
1106806	9000
1106807	9132
1106808	16176
1106809	15216
1106810	15600
1106811	20796
1106901	11700
1106902	11436
1106903	4032
1106904	14400
1106905	18000
1106906	9876
1106907	
1106908	6360
1106909	12408
1106910	18180
1106911	6420
1106912	6504
1106913	15600
1106914	12000
1106915	12480
1106916	12744
1106917	10404
1106918	13560
1106919	13524
1107001	20796
1107002	25380
1107003	15600
1107004	25008
1107005	15600
1107006	12480
1107007	14820
1107008	26004
1107009	
1107010	15600
1107011	15600
1107012	15600
1107013	12996
1107014	15828
1107015	14304
1107016	10896
1107017	23400
1107018	18204
1107019	18204
1107020	12072
1107021	15492
1107022	26004
1107023	12108
1107024	18984
1107025	20796
1107026	20148
1107027	15600
1107028	15000
1107029	15600
1107030	22620
1107031	
1107032	14400
1107101	11700
1107102	15600
1107103	11484
1107104	12996
1107105	15600
1107106	18324
1107107	16644
1107108	18468
1107109	20796
1107110	24000
1107111	26004
1107112	21600
1107113	22488
1107114	24480
1107115	20796
1107116	18468
1107117	18936
1107118	
1107119	15996
1107120	21324
1107121	24480
1107122	13236
1107123	14304
1107124	14040
1107125	15600
1107126	20280
1107127	24000
1107128	21684
1107201	18108
1107202	17676
1107203	18000
1107204	18204
1107205	19956
1107206	26004
1107207	30420
1107208	18204
1107209	15600
1107210	20400
1107211	22824
1107212	23400
1107214	23400
1107215	21324
1107216	17544
1107217	20796
1107218	20304
1107219	19368
1107220	19596
1107221	18204
1107222	26004
1107224	15600
1107225	27564
1107226	25512
1107227	25740
1107228	25872
1107301	
1107302	19692
1107303	16896
1107304	17052
1107305	9000
1107306	8748
1107307	10920
1107308	7800
1107309	14304
1107310	14304
1107311	15600
1107312	11700
1107313	26004
1107314	23664
1107401	19764
1107402	24000
1107403	18000
1107404	12996
1107405	11400
1107406	9360
1107407	19764
1107408	20796
1107409	18720
1107410	20952
1107411	22380
1107412	18204
1107413	16692
1107414	17760
1107415	19200
1107416	24000
1107417	19572
1107418	25872
1107419	19500
1107420	23136
1107421	24000
1107422	15600
1107423	11832
1107425	14304
1107426	12996
1107427	18204
1107501	
1107601	25356
1107602	19704
1107603	18204
1107604	18600
1107605	16896
1107606	15276
1107607	16464
1107608	14040
1107609	18204
1107610	14952
1107611	12996
1107612	14556
1107613	19200
1107614	26004
1107615	27600
1107616	26004
1107617	15180
1107618	15600
1107619	18156
1107620	12996
1107621	23400
1107701	20232
1107702	19764
1107703	20604
1107704	18204
1107705	15600
1107706	18204
1107707	17736
1107708	23868
1107709	21600
1107710	18204
1107711	22620
1107712	18204
1107713	15600
1107714	18204
1107715	16896
1107716	20796
1107717	20400
1107718	15600
1107719	15108
1107720	20328
1107721	16896
1107722	18204
1107723	18372
1107724	16848
1107725	17712
1107726	16644
1107727	16800
1107728	18108
1107729	20592
1107730	18000
1107731	17832
1107732	20796
1107733	12744
1107734	14484
1107735	
1107736	20712
1107737	24000
1107738	23400
1107739	
1107740	16752
1107741	14484
1107742	16644
1107743	14952
1107744	16380
1107745	16644
1107746	19764
1107747	8196
1107748	15084
1107749	9600
1107750	11964
1107751	10488
1107752	15600
1107753	18204
1107754	20796
1107801	15600
1107802	16512
1107804	18204
1107805	17424
1107806	16116
1107807	21468
1107808	10104
1107809	24708
1107810	25008
1107811	22368
1107812	20088
1107813	20796
1107814	19320
1107815	18000
1107816	23100
1107817	17736
1107818	23136
1107819	20796
1107820	23964
1107821	24828
1107822	20520
1107823	20796
1107824	18108
1107825	20796
1107826	18732
1107827	22392
1107828	20244
1107829	17160
1107830	15240
1107831	26004
1107833	26400
1107834	26004
1107835	24696
1107836	20796
1107837	10404
1107838	17688
1107839	15600
1107840	22848
1107841	23580
1107842	25080
1107843	20796
1107844	23400
1107845	24960
1107901	10404
1107902	12996
1107903	15600
1107904	15600
1107905	12996
1107906	14760
1107907	23112
1107908	18852
1107909	20796
1107910	18984
1107911	23880
1107912	20796
1107913	20796
1107914	22200
1107915	24000
1107916	29400
1107917	15456
1107918	15600
1107919	15600
1107920	12996
1107921	20880
1107922	19200
1107923	28200
1107924	22800
1107925	20796
1107926	19488
1107927	31200
1107928	28212
1107929	26544
1107930	26028
1107931	24348
1107932	24000
1107933	24000
1107934	13788
1107935	18204
1107936	21600
1108001	17196
1108002	26004
1108003	20916
1108004	
1108005	15600
1108006	17928
1108007	13260
1108008	10404
1108009	10920
1108010	13392
1108011	14040
1108012	12744
1108013	18204
1108014	12996
1108015	20796
1108016	18000
1108017	16428
1108018	16644
1108019	14556
1108020	13680
1108021	15600
1108022	15600
1108023	15600
1108024	14820
1108025	18204
1108026	
1108027	18000
1108028	18516
1108029	15600
1108030	15600
1108031	17064
1108032	15600
1108033	18648
1108034	15012
1108036	18720
1108037	15600
1108038	15600
1108039	15600
1108040	19200
1108041	16404
1108042	15600
1108043	14556
1108044	15600
1108046	13704
1108047	14304
1108048	12996
1108049	10404
1108050	13584
1108051	
1108052	10704
1108053	18204
1108054	18000
1108055	13524
1108101	11448
1108102	12996
1108103	5304
1108104	8844
1108105	13704
1108106	7200
1108107	15600
1108108	17724
1108109	14220
1108110	13452
1108111	
1108112	10680
1108113	16800
1108114	13524
1108115	18492
1108116	18204
1108117	16848
1108118	20028
1108119	12000
1108120	14400
1108121	9096
1108122	15600
1108123	14820
1108124	15600
1108125	18000
1108126	18852
1108127	16776
1108128	16644
1108129	14556
1108130	15648
1108131	15000
1108132	18000
1108133	12996
1108134	18000
1108135	14304
1108136	15600
1108137	15600
1108138	14400
1108139	23400
1108140	15936
1108141	20856
1108143	12996
1108144	15036
1108145	15600
1108146	13524
1108147	13836
1108148	6000
1108149	18204
1108150	13368
1108151	18336
1108152	18492
1108201	
1108202	15600
1108203	17580
1108204	19200
1108205	14460
1108206	18000
1108207	20280
1108208	15600
1108209	20796
1108210	
1108211	15084
1108212	15600
1108213	16080
1108214	18204
1108215	15600
1108216	15600
1108217	12564
1108218	11988
1108219	17160
1108220	14184
1108221	16896
1108222	14460
1108223	17556
1108224	15924
1108225	17676
1108226	12996
1108227	18204
1108228	32136
1108229	20604
1108230	15600
1108231	14700
1108232	20796
1108233	16176
1108234	18204
1108235	15600
1108236	
1108237	18204
1108238	17016
1108239	19200
1108240	20796
1108241	14892
1108242	13200
1108243	17508
1108244	16116
1108245	20796
1108301	15600
1108302	15600
1108303	18852
1108304	14556
1108305	17448
1108306	12600
1108307	17160
1108308	18456
1108309	15600
1108310	17580
1108311	17292
1108312	16644
1108313	18204
1108314	16848
1108315	18204
1108316	19236
1108317	15600
1108401	23760
1108402	
1108403	15600
1108404	18720
1108405	18204
1108406	20796
1108407	23400
1108408	14508
1108409	20796
1108410	20796
1108411	15864
1108412	17688
1108413	20796
1108414	20796
1108415	24000
1108416	15600
1108417	18204
1108418	17940
1108419	18000
1108420	22104
1108421	19500
1108422	21840
1108423	16116
1108424	21552
1108425	21204
1108426	23400
