SA1_7DIGITCODE_2016	MotorVehicles.min	occupied_private_dwellings
2142924	1	73
2142924	2	34
2142924	3	17
2142924	4	6
2142925		3
2142925	0	6
2142925	1	59
2142925	2	37
2142925	3	16
2142925	4	4
2143001	1	75
2143001	2	152
2143001	3	28
2143001	4	12
2143002		15
2143002	0	6
2143002	1	132
2143002	2	263
2143002	3	49
2143002	4	15
2143003		3
2143003	1	23
2143003	2	77
2143003	3	25
2143003	4	7
2143004		6
2143004	0	3
2143004	1	82
2143004	2	127
2143004	3	25
2143004	4	10
2143005	1	15
2143005	2	54
2143005	3	31
2143005	4	13
2143006		3
2143006	1	55
2143006	2	131
2143006	3	27
2143006	4	11
2143007	1	29
2143007	2	81
2143007	3	20
2143007	4	14
2143008		3
2143008	1	25
2143008	2	53
2143008	3	17
2143008	4	5
2143009	0	3
2143009	1	48
2143009	2	69
2143009	3	21
2143009	4	10
2143010		4
2143010	0	4
2143010	1	61
2143010	2	106
2143010	3	18
2143010	4	12
2143011		10
2143011	0	3
2143011	1	82
2143011	2	159
2143011	3	47
2143011	4	8
2143012		6
2143012	0	3
2143012	1	107
2143012	2	155
2143012	3	22
2143012	4	13
2143013		8
2143013	0	3
2143013	1	58
2143013	2	139
2143013	3	42
2143013	4	27
2143014	1	12
2143014	2	28
2143014	3	21
2143014	4	14
2143015	1	25
2143015	2	38
2143015	3	10
2143015	4	3
2143016	1	27
2143016	2	37
2143016	3	4
2143016	4	3
2143017	1	16
2143017	2	65
2143017	3	25
2143017	4	16
2143018		3
2143018	1	22
2143018	2	55
2143018	3	19
2143018	4	9
2143019		3
2143019	1	40
2143019	2	86
2143019	3	15
2143019	4	5
2143020	1	21
2143020	2	79
2143020	3	36
2143020	4	22
2143021		8
2143021	1	81
2143021	2	151
2143021	3	38
2143021	4	13
2143022	1	27
2143022	2	52
2143022	3	20
2143022	4	4
2143023		4
2143023	0	4
2143023	1	66
2143023	2	121
2143023	3	24
2143023	4	8
2143024		5
2143024	1	41
2143024	2	121
2143024	3	18
2143024	4	3
2143025	1	32
2143025	2	73
2143025	3	13
2143026	1	18
2143026	2	48
2143026	3	3
2143026	4	5
2143027	1	52
2143027	2	83
2143027	3	25
2143027	4	12
2143028		3
2143028	1	42
2143028	2	162
2143028	3	44
2143028	4	28
2143029	0	3
2143029	1	21
2143029	2	69
2143029	3	17
2143029	4	8
2143030	1	13
2143030	2	35
2143030	3	16
2143030	4	7
2143031	0	3
2143031	1	25
2143031	2	92
2143031	3	27
2143031	4	10
2143032	0	3
2143032	1	16
2143032	2	46
2143032	3	18
2143032	4	7
2143033		7
2143033	1	42
2143033	2	38
2143033	3	14
2143033	4	3
2143035	1	10
2143035	2	31
2143035	3	10
2143035	4	7
2143036		3
2143036	1	40
2143036	2	67
2143036	3	15
2143036	4	3
2143037	1	22
2143037	2	52
2143037	3	13
2143037	4	4
2143039	1	63
2143039	2	50
2143039	3	8
2143039	4	3
2143040	1	14
2143040	2	43
2143040	3	9
2143040	4	3
2143041		3
2143041	1	6
2143041	2	38
2143041	3	22
2143041	4	12
2143042	1	13
2143042	2	63
2143042	3	25
2143042	4	17
2143043	1	39
2143043	2	97
2143043	3	16
2143043	4	7
2143101		7
2143101	0	15
2143101	1	91
2143101	2	89
2143101	3	12
2143101	4	7
2143103		3
2143103	0	7
2143103	1	45
2143103	2	62
2143103	3	28
2143103	4	22
2143104		10
2143104	0	15
2143104	1	67
2143104	2	65
2143104	3	19
2143104	4	10
2143105		4
2143105	0	10
2143105	1	16
2143105	2	34
2143105	3	11
2143105	4	3
2143106		3
2143106	0	3
2143106	1	21
2143106	2	25
2143106	3	20
2143107		18
2143107	0	41
2143107	1	103
2143107	2	11
2143108		7
2143108	0	7
2143108	1	57
2143108	2	74
2143108	3	28
2143108	4	16
2143109	0	13
2143109	1	37
2143109	2	58
2143109	3	19
2143109	4	18
2143110		4
2143110	0	6
2143110	1	44
2143110	2	59
2143110	3	35
2143110	4	21
2143111		4
2143111	0	8
2143111	1	25
2143111	2	44
2143111	3	23
2143111	4	11
2143112	1	21
2143112	2	39
2143112	3	14
2143112	4	12
2143113		6
2143113	0	4
2143113	1	36
2143113	2	61
2143113	3	25
2143113	4	11
2143114		4
2143114	0	8
2143114	1	44
2143114	2	106
2143114	3	34
2143114	4	24
2143115		10
2143115	0	9
2143115	1	55
2143115	2	56
2143115	3	20
2143115	4	15
2143116		8
2143116	1	33
2143116	2	40
2143116	3	15
2143116	4	10
2143117	1	34
2143117	2	51
2143117	3	12
2143117	4	18
2143118		3
2143118	0	8
2143118	1	34
2143118	2	69
2143118	3	21
2143118	4	17
2143119	0	5
2143119	1	27
2143119	2	38
2143119	3	12
2143119	4	18
2143120		3
2143120	0	5
2143120	1	19
2143120	2	23
2143120	3	8
2143120	4	3
2143121		4
2143121	0	8
2143121	1	24
2143121	2	74
2143121	3	25
2143121	4	24
2143122		4
2143122	0	4
2143122	1	42
2143122	2	58
2143122	3	15
2143122	4	17
2143123	0	3
2143123	1	36
2143123	2	53
2143123	3	11
2143123	4	10
2143124	0	4
2143124	1	26
2143124	2	60
2143124	3	24
2143124	4	21
2143125		3
2143125	1	38
2143125	2	52
2143125	3	9
2143125	4	13
2143126		8
2143126	1	25
2143126	2	39
2143126	3	7
2143126	4	7
2143127		3
2143127	1	33
2143127	2	57
2143127	3	29
2143127	4	20
2143128	0	5
2143128	1	20
2143128	2	27
2143128	3	14
2143128	4	7
2143129		3
2143129	0	3
2143129	1	27
2143129	2	44
2143129	3	25
2143129	4	4
2143130		3
2143130	1	23
2143130	2	27
2143130	3	10
2143130	4	3
2143131		9
2143131	0	3
2143131	1	31
2143131	2	30
2143131	3	11
2143131	4	9
2143132		4
2143132	0	3
2143132	1	15
2143132	2	42
2143132	3	9
2143132	4	7
2143133		3
2143133	0	3
2143133	1	78
2143133	2	58
2143133	3	10
2143201		7
2143201	0	5
2143201	1	45
2143201	2	38
2143201	3	16
2143201	4	10
2143202	0	3
2143202	1	26
2143202	2	26
2143202	3	11
2143202	4	7
2143203		7
2143203	0	6
2143203	1	30
2143203	2	26
2143203	3	8
2143203	4	6
2143204	1	24
2143204	2	35
2143204	3	5
2143204	4	4
2143205	0	4
2143205	1	27
2143205	2	29
2143205	3	4
2143205	4	4
2143206	0	15
2143206	1	50
2143206	2	42
2143206	3	15
2143206	4	3
2143207		7
2143207	0	5
2143207	1	47
2143207	2	43
2143207	3	22
2143207	4	6
2143208		3
2143208	0	16
2143208	1	59
2143208	2	75
2143208	3	33
2143208	4	7
2143209		4
2143209	0	7
2143209	1	58
2143209	2	59
2143209	3	26
2143209	4	11
2143210		5
2143210	0	10
2143210	1	47
2143210	2	64
2143210	3	19
2143210	4	6
2143212		9
2143212	0	9
2143212	1	56
2143212	2	52
2143212	3	29
2143212	4	7
2143213		10
2143213	0	18
2143213	1	74
2143213	2	50
2143213	3	16
2143213	4	5
2143214		7
2143214	0	12
2143214	1	76
2143214	2	68
2143214	3	30
2143214	4	16
2143216		4
2143216	0	25
2143216	1	82
2143216	2	50
2143216	3	6
2143216	4	9
2143218		6
2143218	1	19
2143218	2	22
2143218	3	15
2143219		6
2143219	0	12
2143219	1	45
2143219	2	49
2143219	3	20
2143219	4	17
2143220		8
2143220	0	28
2143220	1	84
2143220	2	49
2143220	3	3
2143221	1	32
2143221	2	29
2143221	3	6
2143221	4	4
2143222	0	14
2143222	1	43
2143222	2	41
2143222	3	15
2143222	4	6
2143223		3
2143223	0	3
2143223	1	51
2143223	2	37
2143223	3	13
2143223	4	6
2143225		4
2143225	0	3
2143225	1	35
2143225	2	45
2143225	3	19
2143225	4	11
2143226		3
2143226	0	9
2143226	1	39
2143226	2	38
2143226	3	12
2143226	4	12
2143301		3
2143301	0	3
2143301	1	30
2143301	2	90
2143301	3	32
2143301	4	12
2143302	1	31
2143302	2	47
2143302	3	17
2143302	4	12
2143303		8
2143303	0	16
2143303	1	68
2143303	2	73
2143303	3	18
2143303	4	10
2143304	0	5
2143304	1	44
2143304	2	73
2143304	3	11
2143304	4	8
2143305		3
2143305	0	3
2143305	1	43
2143305	2	93
2143305	3	32
2143305	4	12
2143306		4
2143306	1	25
2143306	2	48
2143306	3	24
2143306	4	4
2143307		3
2143307	0	8
2143307	1	49
2143307	2	116
2143307	3	28
2143307	4	9
2143308		3
2143308	0	4
2143308	1	37
2143308	2	77
2143308	3	27
2143308	4	5
2143309		4
2143309	0	5
2143309	1	35
2143309	2	49
2143309	3	16
2143309	4	16
2143310		3
2143310	1	23
2143310	2	63
2143310	3	22
2143310	4	7
2143312		3
2143312	0	3
2143312	1	27
2143312	2	49
2143312	3	15
2143312	4	3
2143313	0	3
2143313	1	14
2143313	2	41
2143313	3	16
2143313	4	8
2143314	0	3
2143314	1	47
2143314	2	44
2143314	3	11
2143314	4	14
2143315		7
2143315	0	9
2143315	1	84
2143315	2	145
2143315	3	38
2143315	4	15
2143316		7
2143316	0	3
2143316	1	43
2143316	2	62
2143316	3	11
2143316	4	13
2143317		3
2143317	0	4
2143317	1	11
2143317	2	49
2143317	3	6
2143317	4	4
2143318	0	3
2143318	1	27
2143318	2	36
2143318	3	6
2143319		9
2143319	0	11
2143319	1	154
2143319	2	151
2143319	3	21
2143319	4	14
2143320	1	25
2143320	2	48
2143320	3	10
2143320	4	3
2143321		8
2143321	0	7
2143321	1	67
2143321	2	93
2143321	3	26
2143322		3
2143322	0	3
2143322	1	43
2143322	2	76
2143322	3	15
2143322	4	14
2143401		3
2143401	1	49
2143401	2	67
2143401	3	12
2143401	4	5
2143402		6
2143402	1	63
2143402	2	129
2143402	3	29
2143402	4	13
2143403		5
2143403	0	12
2143403	1	116
2143403	2	167
2143403	3	41
2143403	4	14
2143404		6
2143404	0	3
2143404	1	30
2143404	2	66
2143404	3	16
2143404	4	17
2143405	1	32
2143405	2	61
2143405	3	16
2143405	4	9
2143406		3
2143406	1	63
2143406	2	99
2143406	3	24
2143406	4	19
2143407		3
2143407	1	53
2143407	2	124
2143407	3	24
2143407	4	11
2143408	1	27
2143408	2	72
2143408	3	20
2143408	4	15
2143409		6
2143409	0	5
2143409	1	89
2143409	2	142
2143409	3	26
2143409	4	11
2143410		3
2143410	1	3
2143410	2	12
2143410	3	3
2143410	4	12
2143411		3
2143411	0	4
2143411	1	63
2143411	2	135
2143411	3	37
2143411	4	11
2143412		3
2143412	0	3
2143412	1	64
2143412	2	102
2143412	3	20
2143412	4	10
2143413	1	63
2143413	2	100
2143413	3	17
2143413	4	12
2143414		3
2143414	1	38
2143414	2	71
2143414	3	29
2143414	4	7
2143415		13
2143415	0	7
2143415	1	44
2143415	2	76
2143415	3	16
2143415	4	10
2143416	0	8
2143416	1	108
2143416	2	129
2143416	3	33
2143416	4	12
2143417		3
2143417	1	67
2143417	2	163
2143417	3	48
2143417	4	14
2143418		3
2143418	0	3
2143418	1	56
2143418	2	96
2143418	3	21
2143418	4	5
2143419		3
2143419	1	26
2143419	2	45
2143419	3	12
2143419	4	11
2143420	1	26
2143420	2	87
2143420	3	20
2143420	4	16
2143421	0	3
2143421	1	57
2143421	2	99
2143421	3	22
2143421	4	14
2143422		3
2143422	1	46
2143422	2	66
2143422	3	17
2143422	4	3
2143424	1	19
2143424	2	41
2143424	3	12
2143425	0	4
2143425	1	29
2143425	2	82
2143425	3	19
2143426		3
2143426	1	6
2143426	2	10
2143426	3	5
2143427		5
2143427	1	24
2143427	2	48
2143427	3	8
2143428		3
2143428	0	4
2143428	1	85
2143428	2	158
2143428	3	35
2143428	4	6
2143429		11
2143429	0	12
2143429	1	155
2143429	2	181
2143429	3	22
2143429	4	6
2143430	0	3
2143430	1	27
2143430	2	39
2143430	3	7
2143430	4	3
2143501		4
2143501	0	9
2143501	1	85
2143501	2	102
2143501	3	23
2143501	4	14
2143502		8
2143502	1	56
2143502	2	88
2143502	3	21
2143502	4	17
2143503		9
2143503	1	30
2143503	2	90
2143503	3	28
2143503	4	10
2143504	1	19
2143504	2	50
2143504	3	16
2143504	4	10
2143505	0	3
2143505	1	24
2143505	2	51
2143505	3	19
2143505	4	11
2143506		5
2143506	1	19
2143506	2	38
2143506	3	12
2143506	4	5
2143507		4
2143507	1	23
2143507	2	101
2143507	3	39
2143507	4	24
2143508		4
2143508	1	13
2143508	2	77
2143508	3	23
2143508	4	17
2143509	1	54
2143509	2	92
2143509	3	22
2143509	4	5
2143510	1	21
2143510	2	81
2143510	3	23
2143510	4	17
2143511	0	3
2143511	1	43
2143511	2	110
2143511	3	34
2143511	4	24
2143512		3
2143512	0	3
2143512	1	24
2143512	2	61
2143512	3	10
2143512	4	10
2143513		4
2143513	1	15
2143513	2	79
2143513	3	30
2143513	4	28
2143514		3
2143514	0	3
2143514	1	44
2143514	2	66
2143514	3	20
2143514	4	17
2143515		3
2143515	0	7
2143515	1	29
2143515	2	72
2143515	3	32
2143515	4	8
2143516		3
2143516	0	4
2143516	1	43
2143516	2	82
2143516	3	21
2143516	4	8
2143517		3
2143517	0	5
2143517	1	34
2143517	2	64
2143517	3	13
2143517	4	6
2143518		3
2143518	1	25
2143518	2	65
2143518	3	23
2143518	4	11
2143519	1	35
2143519	2	124
2143519	3	39
2143519	4	15
2143520	1	24
2143520	2	31
2143520	3	23
2143520	4	11
2143521		10
2143521	1	21
2143521	2	97
2143521	3	25
2143521	4	10
2143522	1	5
2143522	2	16
2143522	3	11
2143522	4	15
2143523		8
2143523	1	31
2143523	2	98
2143523	3	29
2143523	4	8
2143524		3
2143524	0	3
2143524	1	28
2143524	2	63
2143524	3	25
2143524	4	8
2143525		3
2143525	1	4
2143525	2	5
2143525	3	4
2143525	4	3
2143601		7
2143601	1	28
2143601	2	67
2143601	3	20
2143601	4	11
2143602		3
2143602	0	3
2143602	1	44
2143602	2	86
2143602	3	16
2143602	4	8
2143603		3
2143603	0	3
2143603	1	38
2143603	2	59
2143603	3	22
2143603	4	14
2143604		4
2143604	1	26
2143604	2	42
2143604	3	17
2143604	4	6
2143605		3
2143605	0	7
2143605	1	55
2143605	2	54
2143605	3	16
2143606	1	13
2143606	2	42
2143606	3	18
2143606	4	5
2143607	0	3
2143607	1	24
2143607	2	72
2143607	3	27
2143607	4	11
2143608		3
2143608	1	26
2143608	2	54
2143608	3	17
2143608	4	15
2143609	0	8
2143609	1	25
2143609	2	58
2143609	3	25
2143609	4	20
2143610	1	3
2143611		4
2143611	1	38
2143611	2	60
2143611	3	37
2143611	4	25
2143612		4
2143612	0	7
2143612	1	31
2143612	2	47
2143612	3	20
2143612	4	4
2143613	1	27
2143613	2	55
2143613	3	14
2143613	4	7
2143614		4
2143614	1	52
2143614	2	96
2143614	3	31
2143614	4	14
2143615		3
2143615	0	3
2143615	1	50
2143615	2	57
2143615	3	20
2143615	4	15
2143616		3
2143616	0	6
2143616	1	43
2143616	2	38
2143616	3	7
2143616	4	7
2143617		3
2143617	1	27
2143617	2	29
2143617	3	27
2143617	4	11
2143618		4
2143618	0	4
2143618	1	9
2143618	2	14
2143618	3	7
2143619	1	10
2143619	2	42
2143619	3	20
2143619	4	25
2143620		3
2143620	0	6
2143620	1	45
2143620	2	36
2143620	3	14
2143621	0	3
2143621	1	36
2143621	2	54
2143621	3	29
2143621	4	6
2143622	0	4
2143622	1	30
2143622	2	37
2143622	3	16
2143622	4	6
2143623	0	3
2143623	1	41
2143623	2	82
2143623	3	17
2143623	4	12
2143624		3
2143624	1	17
2143624	2	28
2143624	3	20
2143624	4	3
2143625		3
2143625	0	3
2143625	1	15
2143625	2	50
2143625	3	21
2143625	4	13
2143626		8
2143626	0	14
2143626	1	61
2143626	2	49
2143626	3	8
2143627	1	48
2143627	2	83
2143627	3	31
2143628		4
2143628	1	16
2143628	2	42
2143628	3	12
2143628	4	4
2143630		3
2143630	0	3
2143630	1	47
2143630	2	50
2143630	3	16
2143630	4	9
2143633	1	25
2143633	2	39
2143633	3	11
2143633	4	6
2143634		4
2143634	0	7
2143634	1	51
2143634	2	57
2143634	3	8
2143634	4	3
2143635		15
2143635	0	19
2143635	1	130
2143635	2	65
2143635	3	9
2143635	4	6
2143701		7
2143701	0	3
2143701	1	87
2143701	2	185
2143701	3	33
2143701	4	11
2143702		10
2143702	0	15
2143702	1	196
2143702	2	281
2143702	3	47
2143702	4	14
2143703		3
2143703	1	23
2143703	2	37
2143703	3	22
2143703	4	19
2143704		12
2143704	0	3
2143704	1	99
2143704	2	272
2143704	3	77
2143704	4	32
2143705		7
2143705	0	4
2143705	1	112
2143705	2	241
2143705	3	55
2143705	4	24
2143706		6
2143706	1	55
2143706	2	118
2143706	3	19
2143706	4	8
2143707		14
2143707	0	5
2143707	1	119
2143707	2	142
2143707	3	37
2143707	4	16
2143708		6
2143708	0	3
2143708	1	49
2143708	2	107
2143708	3	24
2143708	4	3
2143801	0	15
2143801	1	44
2143801	2	35
2143801	3	18
2143801	4	6
2143802		10
2143802	0	15
2143802	1	63
2143802	2	50
2143802	3	9
2143802	4	3
2143803		3
2143803	0	14
2143803	1	50
2143803	2	30
2143803	3	3
2143804		8
2143804	0	19
2143804	1	94
2143804	2	71
2143804	3	21
2143804	4	12
2143805		6
2143805	0	10
2143805	1	56
2143805	2	78
2143805	3	20
2143805	4	22
2143806		3
2143806	0	19
2143806	1	49
2143806	2	36
2143806	3	9
2143806	4	6
2143807		5
2143807	0	22
2143807	1	33
2143807	2	25
2143807	3	10
2143807	4	3
2143808		10
2143808	0	13
2143808	1	53
2143808	2	52
2143808	3	8
2143808	4	11
2143809		6
2143809	0	3
2143809	1	26
2143809	2	47
2143809	3	21
2143809	4	11
2143810		10
2143810	0	20
2143810	1	67
2143810	2	46
2143810	3	11
2143810	4	3
2143811	0	6
2143811	1	44
2143811	2	57
2143811	3	20
2143811	4	11
2143812		11
2143812	0	37
2143812	1	99
2143812	2	72
2143812	3	12
2143812	4	11
2143813		11
2143813	0	14
2143813	1	70
2143813	2	63
2143813	3	16
2143813	4	11
2143814		8
2143814	0	18
2143814	1	73
2143814	2	39
2143814	3	14
2143814	4	3
2143815		8
2143815	0	10
2143815	1	39
2143815	2	32
2143815	3	14
2143816		7
2143816	0	10
2143816	1	50
2143816	2	34
2143816	3	10
2143816	4	3
2143817		5
2143817	0	18
2143817	1	92
2143817	2	41
2143817	3	3
2143817	4	3
2143818		7
2143818	0	33
2143818	1	101
2143818	2	43
2143818	3	8
2143819		17
2143819	0	32
2143819	1	140
2143819	2	70
2143819	3	13
2143819	4	7
2143820		4
2143820	0	10
2143820	1	60
2143820	2	64
2143820	3	22
2143820	4	13
2143821		7
2143821	0	29
2143821	1	115
2143821	2	44
2143821	3	8
2143821	4	6
2143822		14
2143822	0	39
2143822	1	102
2143822	2	48
2143822	3	6
2143822	4	8
2143824		7
2143824	0	12
2143824	1	60
2143824	2	75
2143824	3	28
2143824	4	7
2143825		7
2143825	0	9
2143825	1	49
2143825	2	43
2143825	3	7
2143825	4	4
2143826		3
2143826	0	11
2143826	1	51
2143826	2	47
2143826	3	20
2143826	4	8
2143827		11
2143827	0	21
2143827	1	103
2143827	2	71
2143827	3	19
2143827	4	5
2143828		5
2143828	0	13
2143828	1	80
2143828	2	60
2143828	3	20
2143828	4	14
2143829		6
2143829	0	9
2143829	1	37
2143829	2	48
2143829	3	9
2143829	4	4
2143830		3
2143830	0	11
2143830	1	32
2143830	2	33
2143830	3	14
2143830	4	11
2143831		4
2143831	0	15
2143831	1	76
2143831	2	41
2143831	3	17
2143831	4	3
2143832		9
2143832	0	16
2143832	1	80
2143832	2	45
2143832	3	10
2143832	4	9
2143833		5
2143833	0	6
2143833	1	43
2143833	2	49
2143833	3	10
2143833	4	6
2143834		3
2143834	0	19
2143834	1	67
2143834	2	52
2143834	3	11
2143834	4	5
2143835		14
2143835	0	37
2143835	1	118
2143835	2	50
2143835	3	4
2143835	4	4
2143836		14
2143836	0	21
2143836	1	38
2143836	2	55
2143836	3	9
2143836	4	6
2143837		5
2143837	0	8
2143837	1	54
2143837	2	36
2143837	3	14
2143837	4	8
2143838		8
2143838	0	5
2143838	1	50
2143838	2	43
2143838	3	14
2143838	4	6
2143839		3
2143839	0	10
2143839	1	39
2143839	2	36
2143839	3	18
2143839	4	5
2143840		3
2143840	0	14
2143840	1	78
2143840	2	44
2143840	3	11
2143840	4	4
2143841		7
2143841	0	8
2143841	1	34
2143841	2	42
2143841	3	8
2143841	4	4
2143842		4
2143842	0	9
2143842	1	65
2143842	2	72
2143842	3	17
2143842	4	8
2143843		6
2143843	0	19
2143843	1	60
2143843	2	75
2143843	3	24
2143843	4	3
2143844		9
2143844	0	14
2143844	1	47
2143844	2	33
2143844	3	9
2143845		4
2143845	0	21
2143845	1	54
2143845	2	42
2143845	3	8
2143845	4	3
2143846		3
2143846	0	10
2143846	1	46
2143846	2	48
2143846	3	7
2143846	4	9
2143847		20
2143847	0	54
2143847	1	86
2143848		7
2143848	0	17
2143848	1	71
2143848	2	51
2143848	3	15
2143848	4	3
2143849		6
2143849	0	17
2143849	1	44
2143849	2	38
2143849	3	11
2143849	4	9
2143850		3
2143850	0	10
2143850	1	76
2143850	2	59
2143850	3	6
2143850	4	9
2143851		10
2143851	0	26
2143851	1	58
2143851	2	45
2143851	3	8
2143851	4	3
2143901	1	41
2143901	2	91
2143901	3	24
2143901	4	3
2143902		6
2143902	0	3
2143902	1	50
2143902	2	158
2143902	3	45
2143902	4	17
2143903		5
2143903	1	45
2143903	2	74
2143903	3	14
2143903	4	7
2143905	1	28
2143905	2	56
2143905	3	21
2143905	4	6
2143906		8
2143906	0	23
2143906	1	130
2143906	2	45
2143906	3	8
2143906	4	3
2143907	1	18
2143907	2	69
2143907	3	27
2143907	4	20
2144001		3
2144001	0	8
2144001	1	68
2144001	2	69
2144001	3	9
2144001	4	3
2144002		3
2144002	0	6
2144002	1	38
2144002	2	49
2144002	3	17
2144002	4	5
2144003		3
2144003	0	5
2144003	1	52
2144003	2	49
2144003	3	23
2144003	4	3
2144004		3
2144004	0	12
2144004	1	37
2144004	2	29
2144004	3	8
2144004	4	3
2144005		14
2144005	0	16
2144005	1	64
2144005	2	49
2144005	3	14
2144005	4	3
2144006		7
2144006	0	18
2144006	1	57
2144006	2	47
2144006	3	17
2144006	4	9
2144008		7
2144008	0	14
2144008	1	52
2144008	2	54
2144008	3	11
2144008	4	11
2144009		7
2144009	0	16
2144009	1	47
2144009	2	38
2144009	3	6
2144009	4	8
2144010	0	14
2144010	1	43
2144010	2	44
2144010	3	12
2144010	4	8
2144011	0	9
2144011	1	39
2144011	2	35
2144011	3	9
2144011	4	6
2144012		7
2144012	0	16
2144012	1	60
2144012	2	57
2144012	3	19
2144012	4	6
2144013		6
2144013	0	16
2144013	1	40
2144013	2	43
2144013	3	15
2144013	4	7
2144014		10
2144014	0	30
2144014	1	50
2144014	2	30
2144014	3	7
2144014	4	9
2144015		3
2144015	0	17
2144015	1	48
2144015	2	54
2144015	3	19
2144015	4	9
2144016		8
2144016	0	11
2144016	1	47
2144016	2	35
2144016	3	8
2144016	4	8
2144017		5
2144017	0	3
2144017	1	27
2144017	2	45
2144017	3	7
2144017	4	6
2144102		3
2144102	0	5
2144102	1	25
2144102	2	46
2144102	3	22
2144102	4	7
2144103		6
2144103	0	4
2144103	1	44
2144103	2	38
2144103	3	8
2144103	4	6
2144104		5
2144104	0	7
2144104	1	73
2144104	2	47
2144104	3	19
2144104	4	16
2144105		3
2144105	1	28
2144105	2	24
2144105	3	15
2144105	4	5
2144106		5
2144106	0	3
2144106	1	31
2144106	2	71
2144106	3	17
2144106	4	7
2144107		3
2144107	0	3
2144107	1	16
2144107	2	41
2144107	3	15
2144107	4	15
2144108		4
2144108	0	6
2144108	1	38
2144108	2	45
2144108	3	11
2144108	4	3
2144109	0	4
2144109	1	39
2144109	2	52
2144109	3	20
2144109	4	8
2144110		3
2144110	0	3
2144110	1	25
2144110	2	36
2144110	3	17
2144110	4	11
2144111		3
2144111	0	25
2144111	1	62
2144111	2	55
2144111	3	20
2144111	4	7
2144112		4
2144112	0	9
2144112	1	40
2144112	2	60
2144112	3	20
2144112	4	18
2144113		4
2144113	0	3
2144113	1	35
2144113	2	46
2144113	3	17
2144113	4	12
2144114		3
2144114	0	3
2144114	1	38
2144114	2	46
2144114	3	17
2144114	4	14
2144115		3
2144115	0	3
2144115	1	44
2144115	2	41
2144115	3	16
2144115	4	11
2144116		8
2144116	0	3
2144116	1	28
2144116	2	27
2144116	3	21
2144116	4	9
2144117	1	27
2144117	2	36
2144117	3	16
2144117	4	10
2144118		3
2144118	0	3
2144118	1	54
2144118	2	69
2144118	3	23
2144118	4	10
2144119		4
2144119	0	17
2144119	1	61
2144119	2	56
2144119	3	20
2144119	4	12
2144120		4
2144120	1	19
2144120	2	30
2144120	3	17
2144120	4	9
2144121		3
2144121	0	7
2144121	1	54
2144121	2	60
2144121	3	22
2144121	4	14
2144122		9
2144122	0	3
2144122	1	23
2144122	2	32
2144122	3	16
2144122	4	11
2144201		3
2144201	1	47
2144201	2	67
2144201	3	26
2144201	4	15
2144203		3
2144203	1	25
2144203	2	58
2144203	3	8
2144203	4	4
2144204		3
2144204	0	7
2144204	1	33
2144204	2	54
2144204	3	15
2144204	4	9
2144205		3
2144205	1	3
2144205	2	6
2144205	4	6
2144206		4
2144206	0	3
2144206	1	57
2144206	2	66
2144206	3	22
2144206	4	7
2144207		3
2144207	1	15
2144207	2	71
2144207	3	39
2144207	4	25
2144208		3
2144208	1	23
2144208	2	64
2144208	3	17
2144208	4	7
2144209		3
2144209	0	3
2144209	1	51
2144209	2	70
2144209	3	23
2144209	4	5
2144210	1	30
2144210	2	27
2144210	3	16
2144210	4	6
2144211		8
2144211	0	7
2144211	1	42
2144211	2	53
2144211	3	14
2144211	4	3
2144212		4
2144212	1	33
2144212	2	65
2144212	3	31
2144212	4	29
2144213		3
2144213	0	3
2144213	1	23
2144213	2	73
2144213	3	16
2144213	4	13
2144214		7
2144214	0	4
2144214	1	36
2144214	2	59
2144214	3	22
2144214	4	6
2144215	1	26
2144215	2	55
2144215	3	12
2144215	4	11
2144216	1	25
2144216	2	45
2144216	3	15
2144216	4	8
2144217		3
2144217	0	3
2144217	1	15
2144217	2	43
2144217	3	14
2144217	4	8
2144218		3
2144218	0	4
2144218	1	36
2144218	2	46
2144218	3	23
2144218	4	9
2144219		7
2144219	0	3
2144219	1	53
2144219	2	78
2144219	3	21
2144219	4	9
2144220	1	31
2144220	2	55
2144220	3	22
2144220	4	7
2144221		3
2144221	1	36
2144221	2	57
2144221	3	7
2144222	1	11
2144222	2	33
2144222	3	9
2144222	4	9
2144223		3
2144223	1	30
2144223	2	61
2144223	3	17
2144223	4	5
2144224	1	23
2144224	2	53
2144224	3	13
2144224	4	4
2144225		4
2144225	1	39
2144225	2	78
2144225	3	18
2144225	4	11
2144226		8
2144226	0	8
2144226	1	51
2144226	2	107
2144226	3	25
2144226	4	5
2144227		3
2144227	0	5
2144227	1	28
2144227	2	49
2144227	3	12
2144301	1	3
2144302		8
2144302	0	8
2144302	1	152
2144302	2	239
2144302	3	64
2144302	4	18
2144303		5
2144303	0	5
2144303	1	40
2144303	2	43
2144303	3	24
2144303	4	16
2144304		9
2144304	1	11
2144304	2	52
2144304	3	25
2144304	4	13
2144305	1	39
2144305	2	42
2144305	3	23
2144305	4	16
2144306		7
2144306	1	20
2144306	2	22
2144306	3	9
2144306	4	10
2144307		3
2144307	0	8
2144307	1	35
2144307	2	36
2144307	3	12
2144307	4	3
2144308		3
2144308	0	3
2144308	1	25
2144308	2	17
2144308	3	10
2144308	4	15
2144309		6
2144309	0	3
2144309	1	54
2144309	2	70
2144309	3	31
2144309	4	12
2144310	0	4
2144310	1	48
2144310	2	62
2144310	3	29
2144310	4	10
2144311	0	3
2144311	1	18
2144311	2	38
2144311	3	19
